iteration	mean	std_dev	min	max	median
5000	198.554	2.099	194.770	202.459	198.010
10000	207.560	25.310	142.025	223.255	219.114
15000	232.125	2.862	226.988	237.160	231.437
20000	161.008	4.102	157.410	170.331	159.830
25000	1001.847	4.027	996.592	1009.794	1000.969
30000	292.367	233.769	155.067	980.259	210.305
35000	537.589	93.552	407.467	699.565	521.772
40000	632.145	231.285	363.918	1028.288	602.072
45000	257.464	2.837	253.129	261.662	257.827
50000	307.739	7.609	298.753	321.990	307.739
55000	335.884	4.245	328.982	343.106	335.299
60000	442.373	202.462	335.998	1036.408	360.629
65000	536.957	213.393	301.204	992.118	550.244
70000	363.127	81.002	259.582	516.710	369.184
75000	54.301	8.421	30.934	61.383	54.517
80000	388.542	34.155	328.010	433.483	395.825
85000	347.741	63.090	284.985	469.544	330.742
90000	305.404	10.419	295.886	334.151	303.493
95000	432.671	29.116	386.032	486.080	427.402
100000	462.288	168.898	153.026	790.842	510.082
105000	457.720	71.517	362.682	606.667	424.249
110000	676.120	81.689	569.120	820.353	666.699
115000	549.856	197.549	356.206	860.326	430.098
120000	753.691	210.065	465.080	1203.941	751.356
125000	574.256	46.799	439.193	613.564	587.903
130000	1133.334	757.712	295.053	2278.435	1094.558
135000	1889.693	76.476	1802.186	2071.587	1881.590
140000	300.564	11.941	281.739	315.983	301.350
145000	1031.631	0.633	1030.753	1032.767	1031.671
150000	2066.004	817.806	69.280	2680.460	2453.109
155000	1758.044	899.544	838.249	2841.279	1581.405
160000	1042.761	0.593	1041.644	1043.432	1042.897
165000	1520.075	210.562	1305.212	2030.302	1484.884
170000	999.033	498.022	304.345	1717.501	875.368
175000	1237.210	675.970	511.218	2354.337	1000.850
180000	2581.875	68.137	2417.697	2669.887	2587.834
185000	2156.585	544.304	1133.309	3013.450	2031.831
190000	328.967	415.304	77.414	1251.758	86.980
195000	2430.504	536.823	1373.332	2880.747	2828.242
200000	516.898	70.238	437.648	657.080	486.396
205000	597.941	202.988	439.164	1120.996	520.794
210000	2193.379	943.422	542.367	2936.784	2911.221
215000	306.737	13.378	286.605	333.334	304.915
220000	1194.511	485.624	308.161	1674.440	1326.561
225000	1387.543	602.710	975.413	2638.925	1123.752
230000	1239.483	653.399	842.809	3177.854	1049.368
235000	999.585	0.591	998.954	1000.715	999.466
240000	2711.779	32.619	2662.158	2785.690	2709.587
245000	68.698	1.461	65.584	70.861	68.832
250000	1199.682	1234.646	43.397	2976.961	707.456
255000	1454.142	607.343	951.880	3208.899	1254.072
260000	781.089	550.668	534.848	2366.647	551.620
265000	1058.429	0.611	1057.323	1059.283	1058.617
270000	1344.410	650.680	781.971	2736.913	1074.794
275000	257.158	1.792	254.251	259.865	257.359
