iteration	mean	std_dev	min	max	median
5000	51.700	5.355	44.000	61.000	53.500
10000	360.667	452.079	39.000	1000.000	43.000
15000	1000.000	0.000	1000.000	1000.000	1000.000
20000	1000.000	0.000	1000.000	1000.000	1000.000
25000	1000.000	0.000	1000.000	1000.000	1000.000
30000	1000.000	0.000	1000.000	1000.000	1000.000
35000	678.333	454.905	35.000	1000.000	1000.000
40000	686.467	443.403	58.000	1000.000	1000.000
45000	801.033	309.752	195.000	1000.000	1000.000
50000	1000.000	0.000	1000.000	1000.000	1000.000
55000	1000.000	0.000	1000.000	1000.000	1000.000
60000	1000.000	0.000	1000.000	1000.000	1000.000
65000	1000.000	0.000	1000.000	1000.000	1000.000
70000	929.133	212.610	283.000	1000.000	1000.000
75000	696.633	429.031	83.000	1000.000	1000.000
80000	1000.000	0.000	1000.000	1000.000	1000.000
85000	670.833	432.774	75.000	1000.000	1000.000
90000	1000.000	0.000	1000.000	1000.000	1000.000
95000	1000.000	0.000	1000.000	1000.000	1000.000
100000	1000.000	0.000	1000.000	1000.000	1000.000
105000	1000.000	0.000	1000.000	1000.000	1000.000
110000	684.267	446.514	52.000	1000.000	1000.000
115000	1000.000	0.000	1000.000	1000.000	1000.000
120000	706.100	415.638	116.000	1000.000	1000.000
125000	1000.000	0.000	1000.000	1000.000	1000.000
130000	1000.000	0.000	1000.000	1000.000	1000.000
135000	1000.000	0.000	1000.000	1000.000	1000.000
140000	1000.000	0.000	1000.000	1000.000	1000.000
145000	1000.000	0.000	1000.000	1000.000	1000.000
150000	1000.000	0.000	1000.000	1000.000	1000.000
155000	1000.000	0.000	1000.000	1000.000	1000.000
160000	1000.000	0.000	1000.000	1000.000	1000.000
165000	1000.000	0.000	1000.000	1000.000	1000.000
170000	1000.000	0.000	1000.000	1000.000	1000.000
175000	678.933	454.057	36.000	1000.000	1000.000
180000	1000.000	0.000	1000.000	1000.000	1000.000
185000	1000.000	0.000	1000.000	1000.000	1000.000
190000	1000.000	0.000	1000.000	1000.000	1000.000
195000	1000.000	0.000	1000.000	1000.000	1000.000
200000	1000.000	0.000	1000.000	1000.000	1000.000
205000	681.267	450.758	42.000	1000.000	1000.000
210000	1000.000	0.000	1000.000	1000.000	1000.000
215000	1000.000	0.000	1000.000	1000.000	1000.000
220000	1000.000	0.000	1000.000	1000.000	1000.000
225000	1000.000	0.000	1000.000	1000.000	1000.000
230000	1000.000	0.000	1000.000	1000.000	1000.000
235000	1000.000	0.000	1000.000	1000.000	1000.000
240000	746.800	358.122	225.000	1000.000	1000.000
245000	1000.000	0.000	1000.000	1000.000	1000.000
250000	1000.000	0.000	1000.000	1000.000	1000.000
255000	1000.000	0.000	1000.000	1000.000	1000.000
260000	690.567	437.605	71.000	1000.000	1000.000
265000	1000.000	0.000	1000.000	1000.000	1000.000
270000	675.967	458.252	27.000	1000.000	1000.000
275000	1000.000	0.000	1000.000	1000.000	1000.000
280000	1000.000	0.000	1000.000	1000.000	1000.000
285000	1000.000	0.000	1000.000	1000.000	1000.000
290000	1000.000	0.000	1000.000	1000.000	1000.000
295000	1000.000	0.000	1000.000	1000.000	1000.000
300000	1000.000	0.000	1000.000	1000.000	1000.000
305000	1000.000	0.000	1000.000	1000.000	1000.000
310000	1000.000	0.000	1000.000	1000.000	1000.000
315000	1000.000	0.000	1000.000	1000.000	1000.000
320000	1000.000	0.000	1000.000	1000.000	1000.000
325000	1000.000	0.000	1000.000	1000.000	1000.000
330000	1000.000	0.000	1000.000	1000.000	1000.000
335000	1000.000	0.000	1000.000	1000.000	1000.000
340000	1000.000	0.000	1000.000	1000.000	1000.000
345000	905.467	283.608	49.000	1000.000	1000.000
350000	1000.000	0.000	1000.000	1000.000	1000.000
355000	1000.000	0.000	1000.000	1000.000	1000.000
360000	877.233	312.995	79.000	1000.000	1000.000
365000	1000.000	0.000	1000.000	1000.000	1000.000
370000	1000.000	0.000	1000.000	1000.000	1000.000
375000	687.367	442.131	61.000	1000.000	1000.000
380000	683.167	448.070	49.000	1000.000	1000.000
385000	1000.000	0.000	1000.000	1000.000	1000.000
390000	1000.000	0.000	1000.000	1000.000	1000.000
395000	1000.000	0.000	1000.000	1000.000	1000.000
400000	1000.000	0.000	1000.000	1000.000	1000.000
405000	1000.000	0.000	1000.000	1000.000	1000.000
410000	699.100	416.732	22.000	1000.000	1000.000
415000	1000.000	0.000	1000.000	1000.000	1000.000
420000	686.067	443.969	58.000	1000.000	1000.000
425000	976.633	120.383	329.000	1000.000	1000.000
430000	1000.000	0.000	1000.000	1000.000	1000.000
435000	444.233	455.097	20.000	1000.000	115.000
440000	1000.000	0.000	1000.000	1000.000	1000.000
445000	1000.000	0.000	1000.000	1000.000	1000.000
450000	966.933	178.069	8.000	1000.000	1000.000
455000	1000.000	0.000	1000.000	1000.000	1000.000
460000	1000.000	0.000	1000.000	1000.000	1000.000
465000	671.100	465.135	12.000	1000.000	1000.000
470000	1000.000	0.000	1000.000	1000.000	1000.000
475000	696.867	428.699	87.000	1000.000	1000.000
480000	970.500	158.862	115.000	1000.000	1000.000
485000	705.267	416.817	112.000	1000.000	1000.000
490000	691.167	436.818	57.000	1000.000	1000.000
495000	1000.000	0.000	1000.000	1000.000	1000.000
500000	720.467	395.353	151.000	1000.000	1000.000
505000	1000.000	0.000	1000.000	1000.000	1000.000
510000	690.167	438.171	70.000	1000.000	1000.000
515000	1000.000	0.000	1000.000	1000.000	1000.000
520000	1000.000	0.000	1000.000	1000.000	1000.000
525000	1000.000	0.000	1000.000	1000.000	1000.000
530000	1000.000	0.000	1000.000	1000.000	1000.000
535000	1000.000	0.000	1000.000	1000.000	1000.000
540000	967.767	173.582	33.000	1000.000	1000.000
545000	999.900	0.539	997.000	1000.000	1000.000
550000	1000.000	0.000	1000.000	1000.000	1000.000
555000	883.833	299.542	46.000	1000.000	1000.000
560000	708.600	412.114	120.000	1000.000	1000.000
565000	709.867	410.332	113.000	1000.000	1000.000
570000	1000.000	0.000	1000.000	1000.000	1000.000
575000	682.967	448.353	48.000	1000.000	1000.000
580000	1000.000	0.000	1000.000	1000.000	1000.000
585000	1000.000	0.000	1000.000	1000.000	1000.000
590000	690.367	437.888	71.000	1000.000	1000.000
595000	681.467	450.474	44.000	1000.000	1000.000
600000	1000.000	0.000	1000.000	1000.000	1000.000
605000	694.067	432.656	79.000	1000.000	1000.000
610000	967.500	175.018	25.000	1000.000	1000.000
615000	1000.000	0.000	1000.000	1000.000	1000.000
620000	1000.000	0.000	1000.000	1000.000	1000.000
625000	1000.000	0.000	1000.000	1000.000	1000.000
630000	1000.000	0.000	1000.000	1000.000	1000.000
635000	541.100	459.960	19.000	1000.000	557.000
640000	1000.000	0.000	1000.000	1000.000	1000.000
645000	1000.000	0.000	1000.000	1000.000	1000.000
650000	1000.000	0.000	1000.000	1000.000	1000.000
655000	1000.000	0.000	1000.000	1000.000	1000.000
660000	1000.000	0.000	1000.000	1000.000	1000.000
665000	1000.000	0.000	1000.000	1000.000	1000.000
670000	1000.000	0.000	1000.000	1000.000	1000.000
675000	1000.000	0.000	1000.000	1000.000	1000.000
680000	1000.000	0.000	1000.000	1000.000	1000.000
685000	1000.000	0.000	1000.000	1000.000	1000.000
690000	1000.000	0.000	1000.000	1000.000	1000.000
695000	689.300	439.397	66.000	1000.000	1000.000
700000	1000.000	0.000	1000.000	1000.000	1000.000
705000	711.867	407.482	135.000	1000.000	1000.000
710000	1000.000	0.000	1000.000	1000.000	1000.000
715000	1000.000	0.000	1000.000	1000.000	1000.000
720000	689.000	439.820	66.000	1000.000	1000.000
725000	676.733	457.168	29.000	1000.000	1000.000
730000	1000.000	0.000	1000.000	1000.000	1000.000
735000	1000.000	0.000	1000.000	1000.000	1000.000
740000	712.767	406.209	138.000	1000.000	1000.000
745000	358.467	453.930	17.000	1000.000	58.000
750000	1000.000	0.000	1000.000	1000.000	1000.000
755000	701.367	422.334	101.000	1000.000	1000.000
760000	1000.000	0.000	1000.000	1000.000	1000.000
765000	1000.000	0.000	1000.000	1000.000	1000.000
770000	805.967	305.601	151.000	1000.000	1000.000
775000	1000.000	0.000	1000.000	1000.000	1000.000
780000	1000.000	0.000	1000.000	1000.000	1000.000
785000	1000.000	0.000	1000.000	1000.000	1000.000
790000	836.533	231.236	490.000	1000.000	1000.000
795000	1000.000	0.000	1000.000	1000.000	1000.000
800000	1000.000	0.000	1000.000	1000.000	1000.000
805000	1000.000	0.000	1000.000	1000.000	1000.000
810000	1000.000	0.000	1000.000	1000.000	1000.000
815000	867.567	337.640	6.000	1000.000	1000.000
820000	1000.000	0.000	1000.000	1000.000	1000.000
825000	676.933	456.886	29.000	1000.000	1000.000
830000	1000.000	0.000	1000.000	1000.000	1000.000
835000	1000.000	0.000	1000.000	1000.000	1000.000
840000	687.700	441.661	59.000	1000.000	1000.000
845000	1000.000	0.000	1000.000	1000.000	1000.000
850000	1000.000	0.000	1000.000	1000.000	1000.000
855000	1000.000	0.000	1000.000	1000.000	1000.000
860000	701.233	424.711	51.000	1000.000	1000.000
865000	757.100	403.218	63.000	1000.000	1000.000
870000	941.233	219.885	118.000	1000.000	1000.000
875000	1000.000	0.000	1000.000	1000.000	1000.000
880000	700.400	423.698	101.000	1000.000	1000.000
885000	906.533	280.404	61.000	1000.000	1000.000
890000	1000.000	0.000	1000.000	1000.000	1000.000
895000	1000.000	0.000	1000.000	1000.000	1000.000
900000	1000.000	0.000	1000.000	1000.000	1000.000
905000	1000.000	0.000	1000.000	1000.000	1000.000
910000	875.433	317.584	64.000	1000.000	1000.000
915000	687.333	442.179	60.000	1000.000	1000.000
920000	1000.000	0.000	1000.000	1000.000	1000.000
925000	874.367	233.308	345.000	1000.000	1000.000
930000	1000.000	0.000	1000.000	1000.000	1000.000
935000	695.633	430.537	68.000	1000.000	1000.000
940000	1000.000	0.000	1000.000	1000.000	1000.000
945000	1000.000	0.000	1000.000	1000.000	1000.000
950000	1000.000	0.000	1000.000	1000.000	1000.000
955000	1000.000	0.000	1000.000	1000.000	1000.000
960000	387.100	433.472	69.000	1000.000	91.000
965000	1000.000	0.000	1000.000	1000.000	1000.000
970000	682.333	449.249	47.000	1000.000	1000.000
975000	696.267	429.804	14.000	1000.000	1000.000
980000	504.033	415.551	44.000	1000.000	313.500
985000	1000.000	0.000	1000.000	1000.000	1000.000
990000	1000.000	0.000	1000.000	1000.000	1000.000
995000	1000.000	0.000	1000.000	1000.000	1000.000
1000000	1000.000	0.000	1000.000	1000.000	1000.000
