iteration	mean	std_dev	min	max	median
5000	15.699	17.703	-35.916	29.328	25.931
10000	14.908	8.820	-6.430	28.541	17.008
15000	-9.411	12.454	-25.871	14.184	-12.998
20000	8.722	20.812	-23.613	33.959	14.204
25000	8.463	20.026	-26.525	35.929	19.199
30000	-4.023	13.294	-25.959	39.380	-3.087
35000	20.345	30.175	-26.330	57.044	29.200
40000	24.725	31.498	-26.242	57.326	42.238
45000	26.406	36.188	-24.942	66.844	51.778
50000	11.765	23.684	-25.766	37.472	23.108
55000	19.252	26.073	-23.924	47.443	34.882
60000	22.551	30.654	-24.911	54.683	34.817
65000	25.010	34.251	-23.325	74.151	29.587
70000	25.964	31.606	-24.885	58.580	46.019
75000	27.268	36.010	-25.923	80.330	36.929
80000	21.922	30.824	-25.043	53.414	40.612
85000	0.128	29.899	-35.394	47.270	-14.508
90000	2.606	20.849	-25.884	54.424	-0.433
95000	20.507	29.984	-26.954	45.465	39.568
100000	5.142	19.862	-24.380	31.127	4.739
105000	16.919	26.688	-25.883	39.893	34.273
110000	28.237	34.141	-25.587	63.121	50.124
115000	25.313	31.531	-27.369	52.969	47.113
120000	22.498	29.014	-23.592	52.156	39.054
125000	30.662	36.956	-25.878	77.823	49.519
130000	22.250	30.896	-25.167	51.427	38.450
135000	34.175	38.336	-24.868	83.389	51.230
140000	22.242	31.240	-25.059	56.091	34.050
145000	36.544	41.037	-25.331	76.841	61.367
150000	24.892	33.614	-25.316	59.331	39.136
155000	33.035	35.442	-24.085	67.222	53.899
160000	26.050	34.319	-27.132	62.409	45.621
165000	30.168	33.861	-24.365	62.503	51.198
170000	30.536	33.930	-26.324	65.441	50.363
175000	29.739	37.526	-25.393	69.713	54.077
180000	38.599	45.207	-24.810	110.494	48.081
185000	33.033	38.568	-25.300	89.974	51.683
190000	36.882	42.142	-26.693	89.416	61.594
195000	36.490	41.054	-25.872	88.897	52.194
200000	37.257	40.654	-24.432	90.028	58.146
