iteration	mean	std_dev	min	max	median
50000	22.503	1.887	19.493	25.316	22.628
100000	5.614	2.138	2.654	8.599	5.561
150000	4.438	1.019	2.373	5.885	4.416
200000	317.886	56.848	163.157	378.715	326.737
250000	256.137	4.964	245.949	262.989	257.228
300000	260.004	3.645	253.802	265.134	260.589
350000	273.280	4.841	265.627	281.135	272.684
400000	270.441	4.815	261.345	277.617	271.025
450000	267.649	2.460	262.476	272.220	267.503
500000	256.538	2.731	253.618	260.798	255.532
550000	279.820	12.858	258.869	300.065	283.869
600000	205.640	5.756	198.066	218.083	203.481
650000	190.497	13.349	175.022	210.206	187.330
700000	214.136	1.814	212.151	216.980	213.372
750000	176.549	10.891	150.276	192.746	177.055
800000	224.966	3.664	221.011	231.876	223.231
850000	257.660	14.437	239.857	280.227	255.582
900000	262.472	22.080	228.972	305.061	260.017
950000	990.136	0.840	989.246	992.273	989.960
1000000	981.227	1.080	979.245	982.820	981.193
1050000	890.952	32.716	850.797	946.264	883.547
1100000	410.959	258.873	88.294	667.803	606.089
1150000	201.328	227.694	44.057	675.461	77.176
1200000	185.511	239.920	45.242	681.440	74.964
1250000	597.580	337.009	56.427	898.159	793.107
1300000	868.250	41.551	798.754	927.495	848.407
1350000	876.237	36.490	818.520	907.220	896.636
1400000	849.595	23.952	813.589	873.872	864.359
1450000	673.803	341.245	-7.322	865.489	851.645
1500000	760.646	267.835	-42.434	857.862	854.533
1550000	847.840	7.200	826.856	853.610	849.264
1600000	888.852	10.330	867.543	895.571	895.199
1650000	868.869	2.261	863.963	872.059	868.741
1700000	889.164	4.465	879.063	898.771	889.138
1750000	906.241	0.423	905.387	906.666	906.402
1800000	906.144	1.389	904.256	908.484	905.732
1850000	920.419	13.653	910.270	952.810	914.808
1900000	937.979	4.819	931.721	945.800	938.278
1950000	946.519	7.519	933.533	958.162	949.081
2000000	943.058	6.731	930.901	954.230	943.060
2050000	976.310	6.750	970.027	987.866	972.795
2100000	934.356	162.482	447.490	1000.129	991.133
2150000	253.357	10.481	236.848	265.499	253.822
2200000	206.716	6.466	200.523	221.427	205.359
2250000	210.306	34.503	172.828	250.558	203.273
2300000	306.564	13.849	287.074	326.252	305.858
2350000	304.429	5.125	297.299	315.316	303.914
2400000	358.671	77.924	238.201	474.631	345.533
2450000	314.269	64.811	135.576	371.207	328.960
2500000	326.956	72.234	125.090	387.453	354.051
2550000	335.156	71.317	164.371	439.373	333.943
2600000	319.449	82.110	90.699	402.933	336.932
2650000	145.522	109.779	73.937	368.881	95.269
2700000	135.814	112.059	73.576	463.942	92.734
2750000	255.872	164.607	96.549	570.912	156.579
2800000	375.846	39.493	322.974	439.814	357.474
2850000	287.747	25.469	258.154	337.514	281.071
2900000	283.903	10.135	270.927	300.172	283.124
2950000	290.217	9.760	276.969	306.520	291.524
3000000	277.532	10.124	260.798	296.731	278.453
3050000	163.901	97.342	70.814	344.609	123.807
3100000	87.412	8.322	76.643	105.469	86.811
3150000	230.233	114.523	99.055	398.127	220.900
3200000	279.050	20.816	229.346	299.012	284.347
3250000	232.596	15.085	208.578	257.694	230.421
3300000	413.944	304.887	248.283	1041.631	266.644
3350000	736.898	351.734	223.383	1040.937	1013.409
3400000	1019.482	2.087	1015.497	1021.401	1020.210
3450000	992.149	7.682	982.556	1002.794	991.218
3500000	982.749	4.983	974.845	991.007	983.661
3550000	980.460	5.298	973.305	993.811	980.767
3600000	610.030	374.056	186.792	982.235	681.546
3650000	572.783	355.388	121.519	986.213	476.725
3700000	203.690	100.709	112.937	376.178	155.256
3750000	128.062	46.982	106.445	267.266	111.651
3800000	128.636	49.384	105.389	273.543	109.500
3850000	114.717	3.831	108.138	120.201	114.941
3900000	153.361	31.613	119.130	216.621	158.859
3950000	158.508	38.984	111.801	258.110	156.153
4000000	178.216	41.548	108.943	227.987	183.953
4050000	260.291	141.746	105.155	605.776	279.895
4100000	239.124	65.718	114.092	305.375	265.640
4150000	594.761	342.132	229.899	1069.350	408.925
4200000	759.496	357.228	269.507	1062.168	1038.550
4250000	1136.274	35.619	1065.130	1212.245	1136.805
4300000	1221.756	63.369	1050.178	1287.156	1230.842
4350000	1317.500	153.510	972.714	1492.184	1362.737
4400000	959.859	440.007	318.528	1350.215	1236.462
4450000	1061.988	387.258	197.782	1413.088	1286.373
4500000	1220.433	182.884	771.295	1452.000	1265.901
4550000	1290.538	165.774	956.617	1439.669	1367.500
4600000	1071.054	273.303	673.909	1501.769	1082.266
4650000	687.923	243.539	423.166	1212.554	592.387
4700000	726.769	295.916	463.177	1485.820	623.557
4750000	444.126	244.118	101.323	774.690	506.587
4800000	574.892	202.235	190.351	993.913	546.712
4850000	457.884	229.302	116.407	907.961	492.576
4900000	386.093	118.422	106.007	578.449	413.171
4950000	412.888	88.138	282.247	554.286	408.952
5000000	657.636	132.313	388.444	845.133	651.921
5050000	520.335	126.868	355.590	701.216	548.621
5100000	581.657	165.156	382.667	839.416	516.980
5150000	572.464	190.124	328.735	983.792	519.247
5200000	609.256	196.029	353.077	1015.625	524.525
5250000	680.635	239.053	336.548	1004.006	666.853
5300000	602.443	159.134	398.209	836.682	571.795
5350000	588.897	182.708	401.552	998.271	539.789
5400000	531.820	201.738	320.777	945.413	426.891
5450000	788.946	203.956	356.362	1110.954	813.207
5500000	782.698	214.353	410.224	1018.309	854.895
5550000	850.125	275.523	480.961	1504.868	777.507
5600000	876.537	356.681	370.547	1475.755	856.348
5650000	1265.629	672.620	476.315	2290.065	1001.844
5700000	1040.336	223.622	654.383	1284.411	1076.001
5750000	1006.320	292.172	573.986	1450.800	1105.917
5800000	1128.668	122.363	975.072	1357.118	1155.211
5850000	732.036	214.808	565.201	1181.164	639.000
5900000	719.163	230.749	533.195	1382.877	690.003
5950000	1119.721	348.328	563.577	1539.854	1244.035
6000000	751.905	211.970	539.439	1315.878	713.050
6050000	805.887	239.495	562.184	1204.970	700.852
6100000	891.508	317.245	576.951	1621.357	796.391
6150000	1916.873	604.889	509.057	2579.023	2102.156
6200000	1061.266	722.686	482.320	2443.659	597.340
6250000	1553.941	428.428	791.465	2164.213	1540.940
6300000	1296.007	323.960	866.551	1894.797	1302.041
6350000	997.048	273.963	745.072	1692.332	937.467
6400000	1288.481	467.864	724.377	2410.688	1110.404
6450000	685.235	114.865	612.482	1008.420	634.592
6500000	726.220	50.965	691.616	874.029	710.460
6550000	826.117	58.094	697.620	911.257	831.262
6600000	970.093	84.168	830.879	1051.536	1003.900
6650000	932.863	68.725	830.461	1024.212	929.471
6700000	1101.144	204.175	821.275	1357.350	1074.250
6750000	1230.852	101.568	1090.680	1372.242	1223.278
6800000	1291.774	330.923	823.133	2106.940	1220.403
6850000	1334.573	260.160	1034.711	1909.469	1304.372
6900000	1229.185	93.652	1075.740	1366.092	1213.575
6950000	1250.396	162.060	1117.138	1709.861	1213.552
7000000	1630.209	325.588	1234.347	2318.033	1595.574
7050000	781.172	446.800	329.347	1232.891	782.161
7100000	1052.645	307.576	329.407	1218.225	1204.865
7150000	1164.299	511.859	244.448	2025.674	1259.572
7200000	1368.811	143.086	1168.457	1686.344	1368.667
7250000	235.642	8.364	222.839	247.331	237.984
7300000	430.195	367.377	230.276	1166.216	253.208
7350000	256.193	4.291	250.622	263.898	254.546
7400000	1161.692	37.354	1111.198	1217.009	1144.682
7450000	1171.489	374.949	190.086	1637.992	1139.697
7500000	637.968	521.615	205.983	1469.428	226.056
7550000	1645.147	309.325	1348.361	2499.125	1591.242
7600000	1282.694	820.437	338.698	3295.515	1303.382
