iteration	mean	std_dev	min	max	median
1000000	63.663	60.009	12.249	185.455	30.824
2000000	44.314	40.213	11.892	144.061	21.790
3000000	63.166	68.688	5.718	218.829	25.336
4000000	117.851	63.554	17.479	189.642	125.147
5000000	134.882	82.335	17.933	312.180	119.833
6000000	201.800	50.827	122.430	313.319	195.525
7000000	180.799	88.091	7.356	279.775	204.400
8000000	225.582	81.580	90.079	309.620	266.912
9000000	228.065	72.623	76.835	299.861	254.006
10000000	224.903	78.023	93.136	317.010	262.872
11000000	292.558	21.212	256.711	321.870	297.740
12000000	283.250	30.208	205.666	319.242	289.046
13000000	267.988	45.761	153.706	321.406	281.401
14000000	286.702	14.762	265.792	309.693	288.495
15000000	304.663	7.653	293.562	316.328	305.835
16000000	303.534	20.856	272.292	340.786	304.886
17000000	306.862	6.128	300.525	322.096	306.359
18000000	305.759	19.932	269.941	332.548	314.649
19000000	308.492	9.340	295.113	322.804	311.944
20000000	284.082	52.849	132.732	330.484	292.271
21000000	300.854	14.085	279.667	333.067	302.396
22000000	302.191	12.719	281.327	322.582	303.772
23000000	291.917	53.266	134.469	322.556	309.260
24000000	308.022	9.914	288.807	327.300	307.198
25000000	309.267	9.976	294.270	331.321	306.925
26000000	310.251	7.901	298.144	323.201	307.915
27000000	320.182	10.019	304.694	343.080	317.638
28000000	316.058	14.656	294.240	341.272	310.133
29000000	316.476	11.524	299.624	331.829	318.376
30000000	313.315	12.515	297.958	340.399	308.543
31000000	317.692	14.358	295.717	337.709	317.425
32000000	316.834	11.456	306.178	342.906	311.622
33000000	317.266	9.343	304.326	341.200	316.088
34000000	300.254	44.914	167.289	324.835	315.897
35000000	318.855	14.107	303.550	344.334	315.217
36000000	312.029	9.866	288.152	321.311	315.915
37000000	316.478	21.210	256.990	337.013	321.198
38000000	329.217	10.027	311.034	347.898	327.055
39000000	323.525	9.740	305.047	337.348	323.736
40000000	320.525	13.575	305.462	353.453	318.763
41000000	316.739	7.183	302.401	328.419	317.969
42000000	320.596	8.443	310.030	341.705	318.021
43000000	324.677	8.529	311.181	343.834	323.012
44000000	310.123	49.477	164.825	340.611	323.043
45000000	322.179	11.837	303.032	339.201	315.742
46000000	320.557	5.661	312.198	331.880	319.274
47000000	320.624	9.239	300.230	334.775	320.842
48000000	327.425	12.601	309.357	354.960	326.681
49000000	332.782	11.486	318.032	351.796	332.278
50000000	330.495	9.135	315.103	346.089	331.892
51000000	326.655	10.971	309.697	345.820	323.762
52000000	327.574	12.811	296.383	344.320	329.031
53000000	329.399	13.140	314.100	355.776	327.227
54000000	336.734	10.708	320.224	354.017	334.649
55000000	329.383	10.695	307.167	347.558	329.827
56000000	337.442	12.282	313.589	358.249	338.171
57000000	334.970	4.974	326.468	345.039	333.454
58000000	310.856	80.330	71.552	359.114	335.286
59000000	329.671	10.088	309.681	342.718	331.796
60000000	338.741	16.853	313.853	382.249	338.541
61000000	333.238	19.914	288.423	357.795	331.209
62000000	342.016	14.826	318.195	369.391	343.321
63000000	332.554	11.778	313.005	351.744	334.439
64000000	329.113	16.125	312.490	361.225	324.196
65000000	333.760	7.359	321.806	348.156	333.078
66000000	335.472	7.253	319.889	346.120	334.772
