iteration	mean	std_dev	min	max	median
5000	935.290	38.764	824.397	975.121	943.872
10000	933.065	46.168	797.355	966.147	943.778
15000	704.334	7.250	693.174	721.775	703.271
20000	946.409	7.252	927.275	954.114	947.909
25000	877.756	37.592	807.584	924.460	890.077
30000	836.390	40.833	794.699	924.007	821.912
35000	906.763	14.485	879.144	929.091	901.823
40000	867.881	48.608	808.646	933.411	878.442
45000	885.900	15.609	869.372	914.834	879.618
50000	864.932	18.474	820.621	894.011	865.993
55000	875.014	21.152	839.892	912.624	871.321
60000	827.146	6.893	812.042	839.087	828.543
65000	853.737	30.643	796.034	885.843	863.398
70000	857.171	43.770	777.415	901.064	870.575
75000	859.466	28.058	796.890	885.631	871.529
80000	896.010	30.315	836.050	930.346	904.925
85000	887.159	25.283	842.047	932.697	894.626
90000	865.224	111.082	652.375	948.601	929.086
95000	864.278	81.646	697.248	921.624	910.963
100000	879.974	40.238	812.487	923.545	899.774
105000	869.475	23.281	846.751	913.939	858.929
110000	795.439	68.094	703.531	929.741	769.218
115000	831.354	72.456	687.887	912.832	849.598
120000	843.374	104.504	721.284	1036.345	835.546
125000	900.913	127.534	741.915	1121.555	819.048
130000	767.804	97.338	681.486	960.695	719.721
135000	668.185	39.075	612.463	730.995	677.400
140000	645.146	62.348	562.475	807.274	634.326
145000	816.565	158.997	630.695	1073.374	784.227
150000	559.568	30.930	521.010	631.491	546.521
155000	622.946	77.733	500.254	741.943	613.246
160000	740.435	44.602	663.542	825.311	742.301
165000	805.819	107.078	683.487	1006.034	759.020
170000	708.691	94.543	590.997	930.065	695.845
175000	617.662	66.837	471.768	717.125	628.950
180000	851.058	204.099	648.870	1347.691	769.285
185000	965.584	199.864	709.638	1396.365	932.785
190000	927.232	161.596	705.543	1219.339	917.771
195000	1104.442	421.004	50.167	1569.005	1193.110
200000	1029.255	236.820	561.842	1417.501	1012.105
205000	1215.257	373.230	452.993	1690.909	1243.558
210000	1010.190	552.079	60.801	1920.259	1100.988
215000	973.866	229.007	440.023	1246.416	987.992
220000	1201.868	519.755	82.124	1804.652	1129.435
225000	1002.314	328.505	107.804	1426.596	1033.982
230000	1139.112	343.870	493.047	1685.190	1015.762
235000	791.763	507.160	35.310	1468.101	855.076
240000	1022.434	549.163	185.652	2097.787	1057.463
245000	1018.506	401.126	216.253	1670.358	1052.690
250000	937.186	523.783	205.509	2120.126	949.472
255000	565.226	281.476	184.561	923.650	625.495
260000	1547.766	611.766	391.375	2193.854	1737.139
265000	1465.057	633.575	426.791	2041.865	1719.211
270000	1060.993	498.164	211.023	1955.434	1004.515
275000	1191.632	604.213	111.167	2195.709	1295.675
280000	2160.436	257.844	1701.914	2420.243	2305.270
285000	1815.575	574.065	903.461	2434.428	2135.510
290000	1318.606	672.886	45.217	2267.862	1134.844
295000	1339.391	709.318	18.857	2197.283	1327.557
300000	2097.362	751.977	383.847	2795.142	2459.856
305000	1786.009	821.002	264.798	2447.990	2379.931
310000	1701.507	761.849	279.663	2564.420	2005.674
315000	1513.793	649.715	44.250	2138.894	1629.764
320000	1939.562	491.447	993.078	2628.087	2030.415
325000	1853.465	592.428	595.400	2517.021	2081.799
330000	1680.585	803.633	252.852	2669.792	1787.654
335000	2055.564	753.263	835.406	2807.348	2476.193
340000	2248.275	496.959	1230.018	2717.938	2447.519
345000	2359.544	683.266	446.569	2797.082	2639.107
350000	1404.261	783.044	136.269	2680.827	1548.921
355000	2465.042	247.211	1935.025	2674.778	2599.047
360000	2569.259	291.882	1754.300	2788.078	2676.116
365000	1598.298	754.638	438.524	2701.384	1504.220
370000	2531.510	68.311	2398.258	2612.341	2545.246
375000	2325.262	586.137	1401.557	3044.469	2519.304
380000	2639.056	78.530	2506.986	2759.453	2626.648
385000	2189.126	757.108	450.370	2824.620	2633.022
390000	2415.235	825.822	573.404	2993.355	2855.860
395000	2470.374	453.415	1521.307	2895.473	2708.919
400000	2503.731	647.961	1217.518	2916.878	2856.924
405000	2726.023	484.317	1299.192	2984.619	2912.765
410000	2513.243	501.264	1536.063	3106.234	2733.602
415000	2356.640	803.568	920.570	3102.750	2729.482
420000	2562.669	686.391	683.354	2941.008	2884.323
425000	2940.341	236.862	2244.753	3104.776	3003.601
430000	1972.272	995.020	31.807	3018.604	1997.326
435000	2760.875	548.895	1129.991	3054.527	2942.993
440000	2484.215	807.530	560.182	3111.222	2930.646
445000	2602.908	910.080	496.359	3386.296	3056.009
450000	2547.850	600.426	1319.969	3135.954	2777.815
455000	2976.679	386.119	1878.483	3357.406	3072.601
460000	2655.136	619.610	1609.474	3213.740	2990.425
465000	3011.251	281.188	2273.219	3288.309	3022.358
470000	2795.436	792.345	588.406	3291.070	3121.503
475000	2874.611	482.125	1882.143	3250.423	3085.979
480000	2806.466	687.777	1018.005	3315.815	3079.887
485000	2858.494	407.938	1944.775	3224.244	3000.331
490000	2396.132	748.191	1241.203	3124.344	2573.182
495000	2806.608	698.040	1413.023	3340.764	3196.500
500000	2505.853	819.819	1171.711	3450.887	3010.519
505000	2542.404	1129.546	458.922	3546.688	3165.651
510000	2484.466	737.373	1105.993	3294.482	2849.210
515000	2572.497	882.802	824.325	3291.914	3051.309
520000	2267.551	1113.311	380.727	3408.916	2638.855
525000	2875.626	943.507	408.589	3561.283	3269.343
530000	3027.131	813.770	599.729	3525.202	3265.142
535000	2389.082	958.038	104.326	3276.075	2711.675
540000	2622.616	890.673	922.516	3506.818	3028.383
545000	2614.398	860.113	1226.635	3414.250	3174.901
550000	1797.975	1411.751	112.895	3727.202	1810.640
555000	3135.557	427.039	2297.871	3581.534	3295.754
560000	2284.446	1118.837	206.304	3510.556	2412.258
565000	3257.650	356.493	2219.750	3588.387	3335.035
570000	2866.310	912.074	858.768	3543.515	3268.508
575000	2683.858	942.389	938.501	3610.827	3211.374
580000	2179.645	938.522	1109.842	3521.965	1868.654
585000	3512.800	78.385	3389.548	3617.692	3519.773
590000	2779.799	988.388	746.293	3661.044	3302.044
595000	3314.916	309.489	2522.788	3616.629	3417.259
600000	2583.385	1222.308	253.509	3684.483	3320.844
605000	3099.460	707.173	1482.703	3662.042	3392.290
610000	3229.106	488.220	1855.621	3593.624	3402.700
615000	3505.534	45.908	3426.479	3572.245	3507.604
620000	2678.755	1073.770	646.673	3848.111	3222.154
625000	3375.089	504.422	1903.062	3737.671	3514.958
630000	2690.807	824.539	1243.430	3702.189	2825.932
635000	3023.595	948.498	584.671	3548.576	3446.881
640000	3407.587	317.895	2746.139	3673.587	3529.724
645000	3088.542	811.924	1197.928	3670.053	3469.861
650000	3359.653	770.679	1224.871	3844.422	3647.377
655000	3533.785	227.051	2879.210	3771.443	3580.854
660000	2524.777	1271.883	454.940	3864.864	2770.621
665000	3135.161	939.153	1152.956	3877.974	3668.968
670000	3005.933	1037.669	410.847	3747.321	3454.271
675000	3556.499	569.139	1871.522	3882.881	3713.261
680000	3254.177	972.253	969.233	3862.310	3692.774
685000	2640.146	1252.320	603.353	3688.828	3573.401
690000	2678.886	1226.730	594.946	4020.249	2835.001
695000	3334.957	978.746	1475.912	4130.199	3846.090
700000	3526.926	909.104	820.088	4023.750	3778.700
705000	3866.408	135.721	3691.178	4171.729	3826.417
710000	3160.046	1174.655	370.606	3860.938	3701.996
