iteration	mean	std_dev	min	max	median
5000	325.673	34.359	293.586	411.998	312.842
10000	261.920	137.765	99.915	461.737	263.636
15000	408.708	49.636	369.563	535.802	387.629
20000	152.770	142.193	85.359	577.951	108.032
25000	482.172	202.275	178.312	838.787	450.999
30000	366.435	36.838	305.160	432.040	361.350
35000	481.687	46.507	409.237	596.135	486.935
40000	858.028	417.573	543.037	1773.604	692.489
45000	469.783	21.269	434.416	507.941	469.604
50000	413.613	130.828	155.933	709.081	397.708
55000	457.149	109.663	334.366	645.824	401.267
60000	559.210	47.066	492.644	635.714	557.226
65000	442.288	23.094	394.404	475.391	448.832
70000	492.233	75.647	436.978	692.563	466.705
75000	439.171	50.174	332.180	530.497	443.151
80000	407.406	24.772	372.165	452.395	410.392
85000	453.443	67.866	382.036	645.490	436.292
90000	966.264	314.900	557.138	1720.678	959.991
95000	1516.817	604.650	254.863	2312.695	1600.697
100000	477.120	117.152	367.720	745.021	431.849
105000	1114.411	431.147	534.926	2217.891	1055.708
110000	1421.941	635.360	112.395	2385.791	1381.238
115000	1792.899	532.413	589.715	2616.108	1835.295
120000	817.750	17.564	770.625	835.025	819.479
125000	1299.319	269.332	936.499	1604.682	1410.230
130000	1076.668	119.549	829.726	1229.267	1104.061
135000	828.679	153.347	584.801	1037.546	800.950
140000	1049.144	196.415	698.496	1279.332	1110.283
145000	1252.762	387.744	808.727	1996.515	1064.973
150000	1104.905	252.520	636.800	1479.259	1129.160
155000	1421.353	486.449	868.995	2339.916	1199.356
160000	2517.271	747.912	583.903	3009.708	2895.111
165000	2072.023	536.316	1092.685	2685.351	2312.251
170000	1546.589	982.817	539.497	2835.646	1277.192
175000	1690.576	809.869	551.591	3010.628	1747.108
180000	1803.386	618.272	1041.978	2511.131	1794.419
185000	1340.831	175.224	1003.992	1668.772	1387.715
190000	1321.575	230.590	969.042	1872.665	1266.673
195000	1980.639	371.956	1588.781	2924.786	1821.192
200000	1858.519	375.992	1449.805	2776.627	1743.605
205000	2121.620	517.841	1447.125	3158.408	2008.935
210000	2757.250	642.859	1574.258	3358.789	3143.122
215000	2881.254	439.382	1942.217	3197.623	3081.838
220000	2591.417	571.159	1737.157	3348.740	2520.070
225000	3251.288	121.633	3016.866	3406.927	3293.019
230000	2693.280	755.654	1067.489	3376.839	2941.742
235000	3226.315	133.363	3085.383	3503.836	3197.297
240000	3345.920	97.285	3198.259	3558.832	3351.360
245000	2981.324	364.757	2339.033	3354.751	3156.179
250000	2319.499	694.083	1312.297	3560.482	2235.614
255000	3292.842	139.027	2944.286	3454.766	3312.009
260000	3134.806	426.208	2266.129	3462.472	3385.045
265000	3381.409	48.108	3321.995	3475.362	3379.917
270000	2761.652	728.031	1479.225	3534.150	3015.451
275000	2782.448	801.132	1364.355	3512.546	3306.601
280000	2911.467	497.259	2075.834	3628.637	2710.604
285000	2796.854	677.137	1451.658	3489.933	3074.664
290000	3376.146	74.101	3267.854	3526.285	3376.298
295000	3048.443	157.106	2720.775	3338.174	3032.038
300000	2782.682	637.567	1849.942	3518.527	2866.263
305000	3076.273	532.964	1941.668	3539.975	3323.601
310000	3235.947	443.505	2086.792	3512.911	3440.462
315000	3263.302	484.604	1826.072	3527.750	3404.489
320000	3422.253	149.399	2986.679	3523.632	3469.805
325000	3268.868	466.357	2321.931	3620.960	3496.919
330000	3478.687	392.467	2314.919	3677.461	3625.512
335000	3438.007	59.121	3283.473	3508.461	3452.127
340000	3483.352	43.134	3415.483	3529.843	3505.469
345000	3364.659	71.711	3250.192	3529.644	3375.093
350000	3621.605	94.300	3440.687	3724.379	3659.635
355000	3274.836	783.613	947.548	3711.182	3521.437
360000	3646.044	65.450	3522.741	3742.034	3645.601
365000	3400.004	486.755	1952.930	3668.126	3548.332
370000	3431.004	693.372	1867.780	3836.593	3755.556
375000	3613.992	46.319	3537.550	3708.445	3593.713
380000	3634.503	109.882	3463.580	3842.515	3636.463
385000	3717.229	73.270	3567.551	3806.209	3744.819
390000	3590.466	60.268	3516.286	3693.543	3584.064
395000	3644.896	39.263	3605.308	3707.695	3624.790
400000	3703.457	51.194	3647.270	3793.739	3682.420
405000	3714.286	86.144	3557.104	3805.510	3739.053
410000	3596.554	96.897	3328.659	3707.656	3626.196
415000	3719.583	60.201	3604.273	3829.306	3711.820
420000	3658.401	37.655	3588.618	3714.174	3661.245
425000	3795.000	41.131	3739.210	3859.390	3786.850
430000	3673.956	54.403	3587.191	3760.779	3673.401
435000	3749.891	35.344	3699.203	3836.936	3750.344
440000	3694.993	37.400	3635.336	3774.208	3690.656
445000	3782.175	33.617	3726.478	3834.476	3796.984
450000	3711.484	20.490	3664.100	3735.524	3710.385
455000	3659.195	68.960	3510.654	3735.577	3672.744
460000	3730.892	41.391	3667.859	3789.280	3744.830
465000	3728.717	46.997	3617.553	3792.611	3739.115
470000	3665.677	34.826	3618.780	3745.300	3656.148
475000	3682.592	50.550	3613.268	3786.404	3667.259
480000	3780.084	31.734	3733.910	3842.412	3783.893
485000	3757.555	42.519	3671.487	3798.885	3766.269
490000	3681.432	44.622	3592.687	3748.886	3674.526
495000	3677.398	36.650	3629.489	3756.551	3674.060
500000	3821.570	38.879	3735.400	3866.810	3820.932
505000	3636.449	27.340	3594.000	3688.455	3633.404
510000	3711.342	40.660	3649.121	3785.299	3705.580
515000	3684.569	41.187	3623.565	3750.477	3686.940
520000	3794.679	35.606	3725.798	3840.730	3798.082
525000	3674.466	29.337	3630.240	3725.185	3673.269
530000	3706.888	23.221	3676.741	3748.804	3701.437
535000	3699.364	47.785	3643.695	3787.452	3693.160
540000	3711.469	14.048	3690.396	3734.221	3713.100
545000	3730.145	55.444	3630.832	3814.445	3720.503
550000	3705.982	41.314	3643.997	3766.579	3704.196
555000	3742.264	42.305	3648.537	3799.414	3743.814
560000	3785.998	20.993	3746.332	3810.211	3792.762
565000	3697.184	43.842	3641.778	3778.624	3690.009
570000	3671.444	10.342	3656.460	3693.133	3671.485
575000	3752.193	24.457	3704.441	3783.786	3755.218
580000	3733.915	7.866	3721.009	3746.130	3731.239
585000	3792.908	43.130	3717.832	3850.001	3793.667
590000	3737.105	20.331	3695.766	3767.863	3742.642
595000	3753.784	47.657	3684.846	3819.869	3750.109
600000	3791.452	43.402	3689.295	3846.363	3809.226
605000	3569.738	731.315	1377.611	3845.779	3824.311
610000	3871.001	9.117	3856.730	3883.507	3870.577
615000	3833.910	10.022	3819.310	3848.055	3835.989
620000	3849.609	25.048	3824.095	3913.120	3842.595
625000	3879.531	31.801	3795.800	3928.776	3886.238
630000	3799.182	9.329	3786.666	3816.399	3796.801
635000	3858.539	65.639	3719.398	3917.170	3890.250
640000	3861.524	6.386	3853.184	3874.219	3861.479
645000	3840.575	9.547	3831.429	3865.520	3837.275
650000	3903.778	33.585	3849.943	3948.455	3917.595
655000	3894.139	10.286	3879.685	3916.664	3892.982
660000	3906.865	12.546	3891.692	3927.094	3905.878
665000	3985.816	21.309	3953.881	4019.422	3992.182
670000	3767.549	11.720	3756.534	3792.267	3761.620
675000	4009.194	10.313	3990.360	4020.691	4012.749
680000	4064.711	27.378	4025.970	4100.896	4064.994
685000	3861.266	30.409	3826.303	3901.139	3860.481
690000	3901.061	13.388	3887.679	3929.163	3897.254
695000	3965.167	25.451	3910.069	3987.677	3979.992
700000	3835.672	27.275	3802.009	3900.267	3823.038
705000	3777.412	11.204	3763.976	3795.178	3774.499
710000	3977.492	15.236	3955.695	3996.102	3977.032
715000	3911.687	15.247	3892.211	3947.235	3912.402
720000	3892.926	34.138	3854.032	3946.505	3882.903
725000	3984.355	25.056	3951.478	4014.040	3999.042
730000	3696.052	18.885	3671.419	3718.752	3703.196
735000	3996.581	31.392	3947.936	4045.180	3997.032
740000	4034.965	91.222	3954.828	4187.623	3991.546
745000	3912.073	13.678	3890.509	3933.405	3912.000
750000	4016.699	20.776	3984.723	4055.728	4012.222
755000	4022.723	13.263	3994.571	4042.646	4025.624
760000	3941.557	7.974	3926.243	3955.065	3943.354
765000	3948.945	15.476	3917.670	3973.012	3954.927
770000	3990.294	14.932	3976.211	4029.996	3986.642
775000	4046.005	11.923	4028.288	4067.645	4045.070
780000	3940.733	29.806	3906.542	4022.705	3930.843
785000	3975.926	43.752	3905.189	4042.326	3980.202
790000	3979.404	25.426	3956.745	4047.170	3970.304
795000	4010.305	21.600	3973.051	4035.120	4016.626
800000	3908.062	43.741	3848.817	3999.888	3910.570
805000	3842.995	49.995	3775.324	3974.720	3831.771
810000	3973.324	17.975	3943.984	4001.574	3976.512
