iteration	mean	std_dev	min	max	median
5000	-287.882	652.276	-2718.479	-20.060	-106.612
10000	-212.208	414.001	-2370.572	-25.947	-119.071
15000	-254.225	531.487	-2229.044	-15.358	-107.749
20000	-255.393	503.249	-2220.395	-18.063	-109.639
25000	-130.800	351.558	-1999.750	-13.906	-42.743
30000	-253.508	511.336	-1975.631	-0.314	-75.394
35000	-318.096	528.927	-1572.349	-9.133	-99.983
40000	-170.184	319.565	-1382.123	-7.513	-87.742
45000	-52.232	37.602	-169.428	2.158	-44.730
50000	-117.643	236.772	-1308.323	-5.114	-38.806
55000	-52.084	46.935	-200.738	0.364	-38.205
60000	-82.892	176.325	-1007.626	0.963	-44.031
65000	-131.985	265.473	-1127.250	-8.252	-41.790
70000	-41.065	30.519	-125.052	16.627	-34.058
75000	-30.349	28.384	-129.131	4.969	-23.983
80000	-80.292	196.372	-844.749	10.841	-19.556
85000	-65.766	136.943	-573.964	6.136	-21.087
90000	-50.957	129.952	-689.548	14.046	-18.476
95000	-61.684	134.143	-585.441	10.808	-19.367
100000	-64.044	146.097	-565.021	13.964	-7.778
105000	-45.490	98.193	-477.212	4.421	-16.346
110000	-13.717	23.134	-73.258	38.291	-14.233
115000	-14.580	23.376	-82.369	21.502	-11.372
120000	-12.410	37.553	-181.005	35.965	-5.255
125000	-12.250	40.883	-154.156	36.585	-2.147
130000	-9.037	30.077	-100.219	28.440	0.709
135000	1.036	37.935	-137.969	65.550	4.787
140000	18.301	27.752	-60.798	89.659	14.569
145000	30.009	40.397	-20.142	150.675	16.968
150000	27.913	51.849	-18.312	181.599	9.318
155000	44.495	60.710	-54.358	218.446	18.462
160000	70.183	83.764	-39.995	327.568	32.534
165000	88.999	93.007	5.340	339.617	51.027
170000	125.051	132.015	4.502	375.925	49.775
175000	123.260	113.080	-17.902	356.769	86.900
180000	95.548	90.659	3.660	339.598	68.128
185000	177.656	156.762	1.412	485.776	121.766
190000	233.652	162.804	4.127	459.810	201.206
195000	210.421	165.273	-3.964	550.717	148.344
200000	246.257	158.780	23.644	531.167	278.169
205000	161.558	177.897	1.336	550.434	87.603
210000	211.252	177.031	10.947	645.493	152.238
215000	317.177	216.734	6.596	803.286	308.442
220000	372.585	239.477	11.904	866.000	387.115
225000	315.760	227.572	40.552	831.223	313.788
230000	430.828	288.566	17.513	1036.317	444.413
235000	362.491	247.435	43.899	813.048	352.798
240000	412.498	289.166	8.956	939.643	509.506
245000	433.278	276.950	36.951	889.417	433.641
250000	521.203	278.511	28.370	1072.020	597.910
255000	477.343	314.978	14.311	1178.206	420.631
260000	611.885	298.120	86.547	1056.718	677.445
265000	551.803	338.354	18.065	1089.899	601.929
270000	548.934	348.443	11.965	1380.283	604.644
275000	600.159	365.792	18.537	1341.178	602.445
280000	601.863	334.914	53.679	1220.560	620.961
285000	502.138	374.784	6.264	1450.594	381.636
290000	645.327	391.862	53.340	1356.666	607.992
295000	632.544	401.598	7.943	1551.469	717.755
300000	650.133	383.743	2.780	1298.336	709.330
305000	640.195	433.743	20.049	1482.712	656.370
310000	651.022	396.002	51.070	1396.999	676.934
315000	781.159	381.139	24.386	1612.714	782.239
320000	645.289	407.470	36.000	1344.586	664.318
325000	862.437	464.380	20.129	1616.122	883.592
330000	863.461	424.084	44.946	1647.957	888.276
335000	850.049	423.148	188.854	1592.323	730.868
340000	993.782	392.973	185.621	1553.358	1048.373
345000	880.461	500.844	8.062	1632.212	974.735
350000	779.064	462.911	61.014	1784.897	805.147
355000	1043.750	437.871	223.643	1649.547	1137.284
360000	1091.473	465.110	108.988	1738.652	1252.514
365000	1037.073	533.211	15.763	1777.659	1084.087
370000	900.513	508.583	49.177	1746.536	842.122
375000	896.229	573.437	4.734	1840.915	908.252
380000	1014.403	493.158	12.915	1829.581	1009.604
385000	1019.191	512.221	205.318	1798.415	1063.424
390000	1117.274	527.652	58.261	1863.485	1178.838
395000	1018.536	521.903	39.119	1798.608	1005.975
400000	996.021	506.403	119.870	1841.096	970.873
405000	969.846	585.379	24.892	1988.201	977.259
410000	956.101	712.881	34.591	1903.241	776.038
415000	1079.071	664.628	17.990	1978.429	1111.409
420000	1070.268	596.618	58.727	1987.946	1037.341
425000	1008.115	567.991	8.760	1915.636	866.464
430000	1207.056	582.358	134.845	1947.712	1112.773
435000	1188.335	601.857	281.634	2063.139	1146.519
440000	1115.468	585.026	9.876	2031.146	969.077
