iteration	mean	std_dev	min	max	median
5000	68.525	43.375	14.476	137.682	73.418
10000	156.258	80.520	30.914	260.502	156.851
15000	214.364	36.837	110.629	254.302	225.518
20000	231.659	11.962	213.446	252.143	231.882
25000	216.356	20.735	160.445	238.053	219.845
30000	221.138	35.276	134.624	266.129	225.221
35000	256.090	73.891	63.508	332.156	281.160
40000	328.814	19.702	299.391	356.785	327.009
45000	336.003	15.975	309.181	362.359	337.020
50000	316.163	99.042	121.023	510.278	319.829
55000	423.627	104.572	254.873	574.230	389.657
60000	586.715	127.140	316.879	830.612	571.279
65000	563.764	92.585	393.116	676.532	540.978
70000	654.078	107.362	460.751	802.730	659.820
75000	648.100	118.916	449.117	823.720	640.182
80000	796.321	246.684	454.052	1188.493	694.180
85000	741.242	127.229	569.053	923.470	689.029
90000	652.821	109.865	425.121	776.408	646.549
95000	750.339	93.560	628.631	888.459	742.627
100000	724.160	197.795	393.819	1149.917	684.905
105000	721.528	120.121	567.867	1015.380	697.056
110000	639.137	82.461	474.483	816.116	644.932
115000	778.828	159.905	552.796	1061.589	720.127
120000	749.855	89.204	594.837	929.466	734.011
125000	813.444	75.262	704.672	932.751	795.286
130000	887.260	193.923	449.090	1220.538	876.926
135000	889.281	177.807	647.998	1228.659	880.315
140000	922.921	228.444	709.503	1511.027	866.018
145000	917.692	127.207	660.940	1165.129	931.220
150000	997.540	157.265	833.353	1293.406	943.375
155000	931.479	216.659	677.905	1455.469	905.961
160000	1044.688	240.274	689.445	1446.089	1135.435
165000	1236.701	383.728	693.424	1951.548	1163.460
170000	1400.647	489.308	641.252	2402.401	1362.234
175000	1283.217	302.863	724.704	1782.822	1354.424
180000	1392.115	430.930	651.793	2406.455	1387.756
185000	1199.007	245.863	607.430	1501.212	1250.774
190000	1326.718	255.268	911.988	1831.771	1336.828
195000	1341.350	187.065	1149.544	1817.678	1270.636
200000	1212.244	325.902	632.512	1945.794	1150.964
205000	1454.445	389.453	976.063	2155.807	1296.666
210000	1403.390	338.206	901.701	1979.637	1380.220
215000	1605.113	562.651	953.965	3104.802	1489.702
220000	1466.434	572.270	935.196	2964.934	1233.531
225000	1158.061	380.446	484.812	1726.867	1154.739
230000	1185.286	561.746	540.506	2401.883	1017.093
235000	1445.532	632.905	921.510	3182.432	1323.703
240000	1241.730	380.027	654.872	2102.207	1195.461
245000	1202.335	413.064	597.532	2058.175	1049.643
250000	1045.055	351.587	446.304	1413.803	1188.799
255000	1264.124	368.298	843.006	2144.676	1173.277
260000	1397.248	226.499	1014.958	1834.876	1387.751
265000	1194.674	246.294	800.800	1530.600	1202.561
270000	1625.944	195.060	1351.606	2023.468	1596.073
275000	1716.114	553.880	798.282	2598.487	1582.802
280000	1773.420	413.956	961.062	2461.749	1783.019
285000	1342.189	371.708	958.999	2176.217	1274.904
290000	1275.628	389.140	644.128	2228.634	1217.874
295000	1236.350	326.771	749.761	1952.411	1218.387
300000	1251.958	315.544	700.846	1859.032	1203.253
305000	1279.146	267.625	878.213	1684.739	1218.984
310000	1452.817	374.223	1012.777	2026.525	1341.598
315000	1455.872	450.737	838.499	2273.725	1388.930
320000	1606.450	497.862	838.239	2343.334	1551.419
325000	1903.282	664.614	1230.211	3435.893	1688.780
330000	1660.834	526.294	861.793	2559.593	1521.909
335000	1487.091	367.215	993.998	2389.621	1376.831
340000	966.954	231.558	676.095	1337.488	968.145
345000	1368.276	479.728	722.175	2402.637	1287.276
350000	1317.239	487.647	652.199	2304.674	1178.186
355000	1923.377	676.843	1010.117	3432.091	1922.624
360000	1734.621	631.336	972.811	3481.927	1582.304
365000	1912.461	890.219	925.237	3595.744	1760.122
370000	1461.211	629.472	409.529	2823.577	1527.056
375000	1411.980	303.989	1000.395	1922.271	1504.658
380000	1610.869	471.315	1080.719	2761.383	1483.025
385000	1887.765	423.302	1388.365	2785.522	1767.515
390000	1718.194	448.952	1038.716	2535.791	1664.341
395000	1484.581	416.417	954.050	2019.707	1506.863
400000	1945.879	862.795	409.303	3636.110	1863.092
405000	1831.865	910.120	692.860	3620.025	1558.853
410000	1700.993	571.037	720.340	2567.723	1937.039
415000	1606.460	356.377	926.368	2264.168	1563.314
420000	1816.216	626.324	1051.280	3044.440	1716.625
425000	2247.627	802.421	399.896	3377.564	2248.175
430000	1935.544	1094.834	889.753	3765.786	1358.275
435000	1837.754	517.255	1014.219	2729.025	1730.930
440000	1801.780	639.939	1006.203	3122.751	1802.977
445000	1418.975	373.884	1033.201	2248.536	1268.914
450000	1086.675	273.895	751.295	1575.535	1035.844
455000	1295.006	361.467	934.659	2092.043	1151.688
460000	1284.582	471.961	876.553	2240.990	1087.503
465000	1729.937	806.989	947.364	3631.265	1469.654
470000	1454.014	472.062	1033.021	2492.835	1242.502
475000	1645.896	363.507	983.665	2222.538	1622.399
480000	1736.270	511.210	975.782	2528.074	1724.110
485000	1606.548	356.594	1250.302	2267.886	1427.021
490000	1640.828	557.632	1244.812	2903.082	1360.573
495000	1475.966	302.762	1123.742	2117.284	1359.992
500000	1644.654	696.210	1003.315	3579.089	1416.852
505000	1956.175	750.450	1052.968	3339.168	1583.713
510000	2017.426	538.749	1087.778	2991.979	2060.641
515000	1329.763	282.561	927.868	1941.544	1271.717
520000	1652.454	550.570	1075.361	3078.166	1478.482
525000	1535.032	430.305	998.513	2290.829	1339.207
530000	1378.040	327.821	1019.528	1990.164	1324.601
535000	1725.127	398.323	1039.132	2455.062	1633.468
540000	1636.743	406.177	977.783	2291.356	1708.976
545000	1996.900	638.685	1317.901	3428.168	1851.208
550000	1728.747	471.941	1129.164	2483.022	1638.629
555000	1744.331	638.317	1041.285	2885.837	1459.422
560000	2190.306	694.294	1069.577	3755.795	2234.797
565000	1744.671	589.330	1089.106	2966.361	1522.167
570000	1615.855	555.808	957.351	2620.625	1555.397
575000	1915.593	691.731	1039.080	3265.221	1775.161
580000	1860.526	721.215	1027.268	3899.157	1642.637
585000	1652.041	432.636	1069.339	2410.566	1568.230
590000	1604.155	146.909	1309.446	1751.364	1636.807
595000	1843.159	428.000	1195.037	2878.524	1883.845
600000	1476.313	325.754	888.902	2163.411	1426.843
605000	1815.821	346.625	1018.629	2306.811	1889.404
610000	1658.299	187.523	1449.667	1960.730	1625.877
615000	1469.885	236.871	1075.697	1750.389	1523.049
620000	1749.770	332.344	1203.744	2540.614	1657.087
625000	1930.841	761.033	941.194	3064.384	1947.838
630000	2393.710	658.329	1343.333	3576.571	2261.849
635000	2239.852	495.452	1575.756	3249.823	2178.322
640000	2310.358	750.841	783.247	3650.485	2210.112
645000	1899.587	245.106	1654.008	2540.164	1863.104
650000	1742.080	538.742	952.317	2314.769	1913.252
655000	1375.190	357.333	981.448	1999.444	1242.540
660000	1628.115	391.329	1098.256	2299.735	1493.554
665000	1740.912	556.859	1158.105	2951.696	1582.384
670000	2318.813	806.681	1366.702	3691.197	2221.212
675000	1801.948	919.133	739.479	3855.052	1418.632
680000	1606.316	562.212	1062.255	2564.777	1391.169
685000	2651.834	967.364	960.806	3892.948	2581.115
690000	2011.549	861.403	943.074	3395.645	2059.180
