iteration	mean	std_dev	min	max	median
5000	70.262	28.716	35.682	165.874	63.513
10000	74.592	18.417	35.759	110.686	73.069
15000	121.894	48.788	63.471	230.692	105.942
20000	143.791	64.507	64.036	342.730	123.925
25000	212.733	92.399	63.993	433.503	193.629
30000	201.935	81.443	73.358	416.193	206.979
35000	268.475	111.358	72.933	490.158	276.912
40000	285.260	119.390	72.788	593.235	266.893
45000	337.060	247.947	73.410	1216.546	280.749
50000	374.686	189.678	91.939	928.873	342.189
55000	341.397	163.938	73.142	845.156	324.244
60000	487.699	178.132	174.992	919.658	472.918
65000	502.399	225.624	240.265	1385.772	468.032
70000	477.860	205.657	183.079	908.851	444.813
75000	579.545	367.073	174.744	1899.557	463.918
80000	653.854	372.740	229.152	1571.682	524.192
85000	629.917	342.789	63.402	1739.659	566.221
90000	695.949	297.469	81.927	1208.843	696.700
95000	981.139	491.735	230.796	2224.299	882.273
100000	1275.826	829.288	389.801	3965.225	994.982
105000	1671.595	1975.064	100.555	9315.256	914.538
110000	1362.445	1152.855	258.284	5224.455	980.798
115000	2449.605	2190.999	109.503	9317.283	1643.412
120000	3858.433	2452.625	128.244	9318.292	3241.483
125000	5539.495	3007.076	146.681	9318.500	5792.136
130000	4810.376	2934.271	258.764	9320.259	4082.305
135000	4220.860	2899.668	612.827	9325.031	3461.564
140000	6306.630	3282.871	212.328	9322.054	8170.126
145000	4003.792	2834.107	332.614	9320.648	3123.206
150000	6196.936	3472.987	81.962	9323.804	7785.524
155000	4694.319	3168.488	361.174	9325.937	3448.485
160000	6194.344	3153.365	72.781	9323.259	6368.679
165000	6692.393	3171.542	649.932	9321.934	8369.428
170000	7298.438	3025.919	518.389	9325.289	9319.506
175000	8114.375	2787.022	255.850	9328.232	9323.733
180000	8652.033	1541.370	2152.438	9330.818	9323.755
185000	7064.005	3374.393	315.201	9331.131	9318.089
190000	5553.786	3872.085	753.492	9330.541	7567.391
195000	6961.496	2687.669	1190.065	9324.666	8803.603
200000	7526.345	3066.966	472.941	9326.195	9323.417
205000	8366.879	2214.086	939.739	9335.255	9322.914
210000	8090.458	2339.863	555.124	9336.697	9322.210
215000	8024.371	2375.674	304.781	9336.027	9321.873
