iteration	mean	std_dev	min	max	median
5000	444.334	360.228	36.397	927.045	333.119
10000	263.643	333.043	-29.221	936.459	106.890
15000	791.039	8.998	777.373	807.778	791.027
20000	-143.446	152.412	-470.448	94.982	-142.271
25000	-168.759	140.283	-519.473	-21.432	-112.393
30000	-200.901	267.693	-840.785	-8.401	-72.916
35000	183.307	174.003	-12.261	489.781	202.677
40000	179.156	140.290	-5.482	504.094	132.313
45000	330.262	121.356	163.564	479.408	363.364
50000	739.989	63.807	683.959	861.934	716.750
55000	896.723	50.018	813.636	962.621	904.824
60000	929.433	23.562	859.723	943.245	935.929
65000	932.383	22.506	870.444	955.471	940.404
70000	863.323	45.427	824.316	945.731	841.331
75000	954.655	18.616	916.645	986.831	952.127
80000	854.395	170.293	453.539	989.062	945.018
85000	882.022	284.603	77.123	1074.359	992.997
90000	656.089	435.558	32.484	1376.449	714.582
95000	815.312	420.341	249.011	1389.289	775.355
100000	718.686	366.152	39.572	1126.690	852.060
105000	961.849	303.756	385.813	1502.296	913.792
110000	1189.395	176.499	911.425	1404.649	1265.435
115000	945.108	188.246	616.296	1252.325	918.782
120000	1160.395	321.456	409.849	1404.144	1324.804
125000	1103.589	399.130	7.651	1398.940	1258.578
130000	1357.492	519.175	87.157	1716.820	1673.116
135000	1184.384	432.594	345.531	1803.385	1161.354
140000	1357.433	415.539	625.089	1733.191	1635.012
145000	941.649	609.328	68.730	1816.038	856.064
150000	1780.122	448.739	582.636	2072.270	1963.381
155000	1560.722	687.114	323.945	2274.142	1763.774
160000	1970.268	266.287	1390.508	2189.289	2067.527
165000	2021.367	130.073	1703.203	2196.220	2019.094
170000	1616.098	720.972	330.760	2327.217	2110.071
175000	1863.194	310.806	1049.718	2086.680	1988.118
180000	1739.661	566.502	523.238	2256.125	1976.692
185000	1719.188	708.465	393.357	2341.285	2108.731
190000	1922.697	705.241	62.593	2413.905	2285.933
195000	1364.906	719.203	266.156	2201.674	1650.021
200000	1459.270	697.635	233.069	2312.677	1444.185
205000	1211.048	750.978	52.991	2128.991	935.866
210000	1501.914	520.258	905.657	2190.839	1268.928
215000	1488.794	708.579	594.551	2368.389	1395.605
220000	1948.231	960.385	111.088	2616.822	2471.491
225000	2319.624	310.123	1430.161	2523.354	2424.359
230000	1908.007	1039.672	25.527	2837.773	2483.283
235000	2551.056	123.309	2363.406	2808.851	2515.357
240000	988.488	480.402	240.195	1617.797	1230.013
245000	1364.747	958.687	68.905	2634.237	1432.481
250000	1949.933	888.723	76.940	2762.048	2354.868
255000	1291.432	880.632	106.074	2585.517	1003.828
260000	1739.839	641.080	188.832	2618.235	1843.125
265000	1968.071	1060.271	24.004	2895.098	2655.848
270000	1301.337	892.583	76.895	2634.561	1125.229
275000	1444.844	1114.946	43.225	2821.461	1616.537
280000	1334.376	994.910	136.927	2785.989	1237.120
285000	834.164	578.607	15.017	1758.726	929.970
290000	2085.845	1059.349	182.522	3057.784	2602.027
295000	2397.830	950.079	223.247	3292.699	2864.939
300000	2462.635	1193.516	64.897	3335.250	2990.044
305000	2568.136	1080.116	459.349	3300.641	3185.468
310000	2126.561	650.135	767.924	3090.038	2197.867
315000	2723.925	791.657	408.116	3115.338	3029.433
320000	1756.466	977.154	291.590	3040.456	1654.236
325000	3128.755	104.740	2944.528	3285.792	3141.555
330000	2240.039	1033.734	105.517	3121.172	2873.020
335000	2694.698	666.523	1176.672	3255.760	3000.163
340000	2978.587	690.371	989.192	3417.551	3212.031
345000	3216.941	95.152	3036.830	3434.119	3210.018
350000	2506.639	1073.505	770.422	3563.764	3046.041
355000	2090.913	1384.594	82.173	3372.959	3036.474
360000	3119.853	376.095	2369.749	3393.677	3293.202
365000	3150.207	251.637	2438.249	3383.862	3225.704
370000	3277.645	489.056	1829.176	3547.510	3430.688
375000	3050.760	658.524	1100.683	3437.242	3249.558
380000	3134.654	561.063	1586.934	3510.565	3326.689
385000	2863.214	1173.991	201.040	3582.174	3420.778
390000	3297.861	532.284	1767.897	3697.019	3404.317
395000	2646.684	1126.144	689.836	3677.596	3391.593
400000	3672.768	114.640	3390.468	3832.304	3689.772
405000	3261.419	1064.840	69.858	3691.545	3622.329
410000	2664.346	1045.635	487.151	3531.935	3259.274
415000	2827.948	1284.192	5.032	3832.909	3381.572
420000	3309.486	555.172	1813.638	3788.014	3417.021
425000	3299.535	662.585	1835.008	3809.139	3665.706
430000	3723.465	226.798	3114.299	3977.921	3779.363
435000	3730.978	554.417	2090.935	4073.149	3860.605
440000	2783.106	1153.560	483.168	3737.853	3356.818
445000	3396.952	640.457	1916.341	3892.043	3674.517
450000	3672.502	150.997	3408.353	3905.371	3687.987
455000	2759.533	1457.907	375.224	4128.429	3690.970
460000	3350.862	1002.058	864.973	4024.125	3780.808
465000	3470.221	1163.751	6.806	4093.387	3848.324
470000	3745.887	733.440	2297.700	4383.520	4165.009
475000	4056.235	449.937	2738.104	4400.774	4165.773
480000	4274.538	165.169	4012.607	4611.689	4221.657
485000	4362.848	100.568	4221.897	4525.047	4358.320
490000	3955.829	526.502	2422.215	4356.984	4095.869
495000	3445.898	948.681	1396.835	4220.643	3967.195
500000	3186.252	1454.730	129.895	4389.525	4006.596
505000	4365.075	190.712	3887.332	4577.150	4372.935
510000	3109.860	1581.649	689.179	4599.455	4113.559
515000	4047.930	76.995	3881.719	4169.582	4045.362
520000	3739.917	1457.927	250.166	4557.200	4462.761
525000	4278.206	91.893	4146.769	4482.870	4268.860
530000	4466.074	96.334	4345.373	4648.229	4428.718
535000	3892.910	1385.843	132.995	4696.273	4551.655
540000	4175.560	877.233	2173.991	4766.362	4566.364
545000	3953.019	1219.922	306.258	4505.424	4334.272
550000	3571.478	1705.106	439.397	4903.535	4560.663
555000	4387.955	437.064	3125.216	4681.034	4547.434
560000	4500.587	289.861	3692.519	4711.832	4603.879
565000	4706.449	107.288	4553.889	4903.626	4710.267
570000	4236.916	1231.159	1080.258	5052.492	4819.007
575000	2902.009	1666.681	538.447	4642.932	3602.259
580000	4218.656	1345.726	201.475	4961.908	4620.939
585000	3505.932	1862.620	147.772	4875.557	4646.173
590000	4563.833	690.639	2503.000	4906.528	4774.440
595000	4104.729	955.896	1628.709	4769.151	4513.505
600000	4330.272	1344.919	310.522	4971.567	4784.942
605000	4821.251	100.262	4663.424	5000.031	4821.102
610000	3706.622	1725.367	291.203	4988.736	4734.801
615000	3899.286	1526.053	557.167	4807.367	4625.817
620000	4465.579	710.331	2369.974	4871.755	4723.249
625000	4683.318	445.175	3397.747	5112.147	4816.044
630000	4750.948	337.543	3882.922	5097.887	4850.007
635000	4606.904	1059.296	1445.232	5093.572	4946.326
640000	4903.790	102.007	4706.655	5059.479	4907.255
645000	4749.375	775.680	2444.818	5198.554	4971.476
650000	4196.198	1280.435	1593.619	5268.251	4894.937
655000	4475.171	1222.695	883.010	5220.587	4910.716
660000	4426.657	780.224	2851.303	5024.445	4792.150
665000	5023.648	161.176	4787.944	5303.283	5020.723
670000	4800.271	641.890	2905.924	5236.352	4949.603
675000	4425.264	1230.883	1736.637	5136.423	4987.964
680000	4850.762	459.360	3553.965	5211.668	4956.999
685000	4559.553	841.708	2234.733	5143.635	4919.650
690000	4238.031	1268.277	1592.147	5078.608	4789.439
695000	5083.079	121.766	4887.567	5320.667	5046.301
700000	4996.481	94.429	4861.749	5147.768	5001.134
705000	4506.078	1421.799	249.346	5097.124	4977.134
710000	4746.172	843.487	2306.635	5330.682	5011.951
