iteration	mean	std_dev	min	max	median
5000	24.233	4.356	19.000	36.000	23.000
10000	24.800	8.336	18.000	58.000	22.500
15000	65.967	8.361	55.000	82.000	63.000
20000	1000.000	0.000	1000.000	1000.000	1000.000
25000	1000.000	0.000	1000.000	1000.000	1000.000
30000	1000.000	0.000	1000.000	1000.000	1000.000
35000	1000.000	0.000	1000.000	1000.000	1000.000
40000	1000.000	0.000	1000.000	1000.000	1000.000
45000	1000.000	0.000	1000.000	1000.000	1000.000
50000	1000.000	0.000	1000.000	1000.000	1000.000
55000	1000.000	0.000	1000.000	1000.000	1000.000
60000	1000.000	0.000	1000.000	1000.000	1000.000
65000	1000.000	0.000	1000.000	1000.000	1000.000
70000	1000.000	0.000	1000.000	1000.000	1000.000
75000	1000.000	0.000	1000.000	1000.000	1000.000
80000	1000.000	0.000	1000.000	1000.000	1000.000
85000	1000.000	0.000	1000.000	1000.000	1000.000
90000	1000.000	0.000	1000.000	1000.000	1000.000
95000	1000.000	0.000	1000.000	1000.000	1000.000
100000	1000.000	0.000	1000.000	1000.000	1000.000
105000	1000.000	0.000	1000.000	1000.000	1000.000
110000	1000.000	0.000	1000.000	1000.000	1000.000
115000	737.733	370.901	213.000	1000.000	1000.000
120000	1000.000	0.000	1000.000	1000.000	1000.000
125000	1000.000	0.000	1000.000	1000.000	1000.000
130000	1000.000	0.000	1000.000	1000.000	1000.000
135000	1000.000	0.000	1000.000	1000.000	1000.000
140000	1000.000	0.000	1000.000	1000.000	1000.000
145000	1000.000	0.000	1000.000	1000.000	1000.000
150000	1000.000	0.000	1000.000	1000.000	1000.000
155000	1000.000	0.000	1000.000	1000.000	1000.000
160000	1000.000	0.000	1000.000	1000.000	1000.000
165000	1000.000	0.000	1000.000	1000.000	1000.000
170000	1000.000	0.000	1000.000	1000.000	1000.000
175000	1000.000	0.000	1000.000	1000.000	1000.000
180000	1000.000	0.000	1000.000	1000.000	1000.000
185000	1000.000	0.000	1000.000	1000.000	1000.000
190000	1000.000	0.000	1000.000	1000.000	1000.000
195000	1000.000	0.000	1000.000	1000.000	1000.000
200000	1000.000	0.000	1000.000	1000.000	1000.000
205000	1000.000	0.000	1000.000	1000.000	1000.000
210000	1000.000	0.000	1000.000	1000.000	1000.000
215000	1000.000	0.000	1000.000	1000.000	1000.000
220000	1000.000	0.000	1000.000	1000.000	1000.000
225000	1000.000	0.000	1000.000	1000.000	1000.000
230000	1000.000	0.000	1000.000	1000.000	1000.000
235000	1000.000	0.000	1000.000	1000.000	1000.000
240000	785.433	303.453	351.000	1000.000	1000.000
245000	1000.000	0.000	1000.000	1000.000	1000.000
250000	1000.000	0.000	1000.000	1000.000	1000.000
255000	1000.000	0.000	1000.000	1000.000	1000.000
260000	745.167	360.389	234.000	1000.000	1000.000
265000	727.533	385.352	175.000	1000.000	1000.000
270000	1000.000	0.000	1000.000	1000.000	1000.000
275000	1000.000	0.000	1000.000	1000.000	1000.000
280000	1000.000	0.000	1000.000	1000.000	1000.000
285000	1000.000	0.000	1000.000	1000.000	1000.000
290000	1000.000	0.000	1000.000	1000.000	1000.000
295000	1000.000	0.000	1000.000	1000.000	1000.000
300000	1000.000	0.000	1000.000	1000.000	1000.000
305000	1000.000	0.000	1000.000	1000.000	1000.000
310000	1000.000	0.000	1000.000	1000.000	1000.000
315000	1000.000	0.000	1000.000	1000.000	1000.000
320000	1000.000	0.000	1000.000	1000.000	1000.000
325000	1000.000	0.000	1000.000	1000.000	1000.000
330000	1000.000	0.000	1000.000	1000.000	1000.000
335000	421.467	418.454	21.000	1000.000	226.500
340000	675.567	458.837	20.000	1000.000	1000.000
345000	675.800	458.505	19.000	1000.000	1000.000
350000	674.433	460.422	21.000	1000.000	1000.000
355000	350.533	459.270	20.000	1000.000	28.000
360000	350.467	459.316	19.000	1000.000	29.500
365000	349.600	459.911	20.000	1000.000	26.500
370000	348.967	460.364	19.000	1000.000	24.000
375000	348.767	460.506	19.000	1000.000	24.500
380000	351.167	458.823	19.000	1000.000	31.500
385000	350.333	459.410	19.000	1000.000	27.500
390000	349.033	460.311	19.000	1000.000	25.500
395000	350.500	459.281	19.000	1000.000	29.000
400000	348.867	460.430	19.000	1000.000	27.000
405000	351.600	458.524	21.000	1000.000	32.000
410000	350.433	459.336	20.000	1000.000	29.000
415000	349.700	459.843	19.000	1000.000	27.500
420000	349.167	460.230	19.000	1000.000	25.500
425000	349.733	459.817	19.000	1000.000	28.000
430000	350.033	459.610	20.000	1000.000	28.500
435000	350.033	459.639	18.000	1000.000	26.500
440000	350.100	459.584	19.000	1000.000	27.000
445000	351.900	458.307	20.000	1000.000	33.000
450000	350.000	459.637	19.000	1000.000	27.000
455000	349.933	459.684	18.000	1000.000	28.500
460000	348.267	460.853	18.000	1000.000	24.000
465000	349.667	459.865	19.000	1000.000	26.500
470000	348.400	460.755	19.000	1000.000	24.500
475000	349.000	460.342	19.000	1000.000	25.500
480000	351.367	458.700	19.000	1000.000	29.000
485000	351.933	458.286	18.000	1000.000	33.500
490000	350.567	459.259	18.000	1000.000	28.000
495000	351.067	458.889	20.000	1000.000	29.000
500000	348.533	460.671	19.000	1000.000	23.500
505000	96.667	100.043	19.000	241.000	27.500
510000	350.067	459.582	20.000	1000.000	27.500
515000	351.067	458.896	19.000	1000.000	33.000
520000	349.467	460.010	19.000	1000.000	26.000
525000	350.733	459.115	19.000	1000.000	30.000
530000	349.133	460.247	19.000	1000.000	27.000
535000	351.067	458.891	19.000	1000.000	30.000
540000	350.300	459.419	20.000	1000.000	27.500
545000	350.067	459.593	19.000	1000.000	26.500
550000	349.867	459.725	19.000	1000.000	26.500
555000	351.300	458.722	20.000	1000.000	28.000
560000	350.333	459.406	19.000	1000.000	31.000
565000	349.167	460.229	19.000	1000.000	25.500
570000	349.500	459.980	19.000	1000.000	26.000
575000	352.067	458.212	19.000	1000.000	31.500
580000	349.333	460.123	18.000	1000.000	25.000
585000	350.367	459.380	19.000	1000.000	30.000
590000	349.800	459.791	19.000	1000.000	27.500
595000	349.233	460.173	19.000	1000.000	25.500
600000	350.167	459.521	21.000	1000.000	26.000
605000	348.567	460.637	18.000	1000.000	24.500
610000	349.433	460.038	19.000	1000.000	24.500
615000	349.967	459.668	19.000	1000.000	28.000
620000	349.700	459.851	19.000	1000.000	25.500
625000	350.100	459.560	20.000	1000.000	28.000
630000	349.800	459.787	19.000	1000.000	26.500
635000	348.933	460.396	18.000	1000.000	24.500
640000	351.067	458.903	19.000	1000.000	29.000
645000	348.733	460.523	18.000	1000.000	26.500
650000	349.900	459.707	19.000	1000.000	26.500
655000	349.533	459.972	20.000	1000.000	25.500
660000	349.067	460.286	19.000	1000.000	25.000
665000	350.767	459.105	20.000	1000.000	29.000
670000	350.067	459.592	19.000	1000.000	27.000
675000	349.467	460.004	20.000	1000.000	26.000
680000	350.000	459.635	18.000	1000.000	27.000
685000	348.867	460.426	19.000	1000.000	25.500
690000	349.533	459.970	19.000	1000.000	25.000
695000	221.333	389.407	19.000	1000.000	24.000
700000	350.633	459.203	19.000	1000.000	30.000
705000	349.533	459.957	19.000	1000.000	26.500
710000	350.633	459.205	19.000	1000.000	28.000
715000	350.300	459.430	20.000	1000.000	27.000
720000	348.600	460.619	20.000	1000.000	24.000
725000	349.000	460.334	19.000	1000.000	25.000
730000	350.433	459.342	19.000	1000.000	29.500
735000	350.533	459.263	20.000	1000.000	31.500
740000	349.633	459.890	20.000	1000.000	26.500
745000	349.600	459.929	20.000	1000.000	24.000
750000	350.200	459.497	19.000	1000.000	27.000
755000	351.367	458.693	19.000	1000.000	30.000
760000	350.800	459.095	19.000	1000.000	28.500
765000	349.767	459.794	19.000	1000.000	26.000
770000	349.967	459.718	18.000	1000.000	24.500
775000	349.267	460.150	19.000	1000.000	26.500
780000	348.833	460.449	19.000	1000.000	24.500
785000	349.967	459.664	19.000	1000.000	27.000
790000	351.367	458.669	20.000	1000.000	29.000
795000	348.933	460.380	19.000	1000.000	24.000
800000	350.933	458.972	19.000	1000.000	28.000
805000	350.167	459.515	20.000	1000.000	28.000
810000	349.700	459.847	19.000	1000.000	26.500
815000	349.067	460.287	20.000	1000.000	25.000
820000	348.833	460.455	20.000	1000.000	24.000
825000	349.433	460.029	19.000	1000.000	25.500
830000	350.600	459.218	19.000	1000.000	29.000
835000	350.300	459.442	19.000	1000.000	26.000
840000	350.533	459.261	19.000	1000.000	29.500
845000	24.200	4.707	20.000	43.000	23.500
850000	25.100	4.700	19.000	35.000	24.500
855000	23.800	5.224	19.000	44.000	22.000
860000	25.100	3.553	19.000	32.000	24.000
865000	24.633	4.045	19.000	37.000	23.500
