iteration	mean	std_dev	min	max	median
5000	-31.802	18.496	-55.620	-2.187	-34.493
10000	-33.274	17.239	-54.426	-5.043	-34.732
15000	-10.517	3.871	-18.514	-1.942	-10.340
20000	-8.513	2.454	-15.197	-4.572	-8.333
25000	-6.436	2.560	-12.077	-2.589	-5.946
30000	-5.774	1.549	-8.563	-2.242	-5.588
35000	-6.021	2.164	-10.347	-1.646	-6.261
40000	-4.474	1.832	-7.948	-1.150	-4.098
45000	-4.626	1.768	-9.111	-1.903	-4.103
50000	-5.445	1.664	-8.575	-2.406	-5.586
55000	-4.980	1.727	-9.333	-1.770	-4.928
60000	-4.232	1.811	-7.530	-1.145	-4.136
65000	-4.713	2.321	-10.001	-1.792	-3.502
70000	-4.315	1.552	-7.585	-0.915	-4.250
75000	-4.320	1.583	-8.074	-1.581	-4.139
80000	-3.967	1.461	-6.596	-1.099	-4.035
85000	-4.593	1.624	-7.406	-1.711	-4.585
90000	-4.459	1.425	-7.104	-1.335	-4.593
95000	-4.199	1.519	-6.701	-1.579	-4.456
100000	-4.496	1.721	-9.459	-1.603	-4.354
105000	-4.599	1.608	-8.411	-1.287	-4.734
110000	-4.225	1.654	-7.894	-1.367	-4.150
115000	-4.210	1.391	-6.495	-1.162	-4.543
120000	-3.970	1.515	-6.597	-1.133	-4.017
125000	-3.907	1.308	-6.531	-1.277	-4.127
130000	-4.124	1.593	-7.531	-1.369	-3.976
135000	-4.497	1.646	-8.317	-1.316	-4.786
140000	-3.573	1.579	-6.915	-1.681	-3.143
145000	-4.151	1.245	-6.417	-1.804	-4.010
150000	-3.636	1.425	-6.198	-1.155	-3.633
155000	-4.034	1.666	-7.739	-1.272	-3.786
160000	-3.906	1.461	-7.400	-1.245	-3.807
165000	-4.194	1.609	-7.037	-1.462	-4.197
170000	-4.212	1.638	-7.629	-1.590	-3.965
175000	-4.040	1.835	-7.700	-0.894	-3.865
180000	-4.138	1.443	-6.831	-0.904	-4.114
185000	-3.958	1.502	-7.609	-1.436	-3.999
190000	-4.491	1.689	-6.892	-1.049	-4.979
195000	-4.071	1.602	-6.871	-0.787	-4.266
200000	-3.911	1.375	-7.454	-1.311	-3.509
205000	-3.710	1.763	-6.957	-0.942	-3.407
210000	-3.832	1.637	-6.802	-0.594	-4.090
215000	-3.725	1.483	-6.425	-1.199	-3.794
220000	-3.995	1.526	-7.067	-1.294	-3.939
225000	-3.851	1.410	-7.090	-0.462	-3.923
230000	-3.283	1.466	-6.574	-1.050	-3.098
235000	-4.074	1.387	-7.186	-1.416	-3.984
240000	-3.770	1.228	-5.795	-1.150	-3.838
245000	-3.472	1.344	-5.682	-1.018	-3.511
250000	-3.702	1.540	-6.746	-0.936	-3.656
255000	-4.204	1.605	-7.555	-0.834	-4.177
260000	-3.989	1.676	-6.894	-0.850	-4.144
265000	-4.334	1.366	-7.365	-1.651	-4.364
270000	-3.827	1.362	-6.816	-1.156	-3.881
275000	-3.679	1.473	-7.475	-1.138	-3.557
280000	-3.539	1.476	-6.259	-0.837	-3.337
285000	-3.780	1.370	-7.330	-0.883	-3.867
290000	-3.514	1.479	-6.526	-0.522	-3.787
295000	-3.777	1.282	-6.966	-1.226	-3.758
300000	-3.801	1.107	-5.614	-0.770	-3.805
305000	-3.434	1.745	-6.901	-0.490	-3.457
310000	-3.843	1.596	-6.357	-0.956	-3.894
315000	-3.660	1.750	-7.196	-0.673	-3.455
320000	-3.746	1.502	-7.000	-0.815	-3.562
325000	-3.671	1.476	-6.220	-0.503	-3.825
330000	-3.132	1.241	-5.806	-1.195	-3.146
335000	-4.146	1.379	-6.422	-0.835	-4.399
340000	-3.752	1.484	-6.659	-0.847	-3.805
345000	-3.583	1.549	-6.893	-0.810	-3.605
350000	-3.703	1.748	-7.109	-0.807	-3.487
355000	-3.463	1.449	-5.984	-0.591	-3.679
360000	-3.543	1.522	-6.698	-0.566	-3.644
365000	-3.926	1.051	-5.629	-1.972	-3.882
370000	-3.148	1.479	-6.018	-0.638	-3.111
375000	-3.588	1.163	-5.760	-0.911	-3.609
380000	-4.259	1.707	-7.365	-1.092	-4.601
385000	-3.403	1.607	-6.642	-0.873	-3.277
390000	-4.050	1.645	-6.955	-1.015	-4.245
395000	-3.603	1.905	-6.439	-0.628	-3.831
400000	-4.106	1.355	-6.573	-1.043	-4.169
405000	-3.061	1.233	-5.363	-1.254	-2.945
410000	-3.868	1.314	-6.247	-1.163	-4.223
415000	-4.005	1.116	-5.582	-1.615	-4.187
420000	-3.630	1.122	-6.156	-0.545	-3.702
425000	-3.488	1.590	-6.461	-1.090	-3.519
430000	-3.460	1.258	-5.930	-0.787	-3.273
435000	-3.503	1.434	-6.111	-1.104	-3.451
440000	-3.565	1.317	-5.817	-1.273	-3.655
445000	-4.227	1.447	-6.669	-0.436	-4.407
450000	-3.532	1.323	-6.242	-1.032	-3.333
455000	-3.161	1.378	-6.021	-1.200	-2.917
460000	-3.621	1.416	-6.818	-0.760	-3.937
465000	-3.911	1.676	-6.645	-0.962	-3.986
470000	-3.265	1.264	-6.689	-0.699	-3.205
475000	-3.634	1.696	-7.288	-1.065	-3.145
480000	-3.324	1.233	-5.858	-0.863	-2.968
485000	-3.417	1.454	-6.276	-0.397	-3.225
490000	-3.863	1.537	-6.793	-0.784	-3.917
495000	-3.807	1.568	-6.379	-0.634	-3.742
500000	-3.934	1.357	-7.011	-1.985	-3.992
505000	-3.518	1.304	-5.616	-0.667	-3.448
510000	-3.960	1.527	-6.186	-0.742	-4.250
515000	-3.383	1.527	-6.474	-1.251	-2.910
520000	-3.542	1.268	-6.384	-1.079	-3.441
525000	-3.576	1.429	-6.278	-0.431	-3.650
530000	-3.713	1.640	-6.220	-0.641	-4.078
535000	-3.450	1.567	-6.087	-1.283	-3.514
540000	-3.938	1.455	-6.334	-1.609	-3.859
545000	-3.977	1.581	-6.666	-0.727	-3.982
550000	-4.041	1.530	-7.311	-0.440	-3.893
555000	-3.577	1.506	-6.652	-0.711	-3.732
560000	-3.496	1.461	-6.568	-1.087	-3.247
565000	-3.849	1.556	-6.813	-1.205	-4.099
570000	-3.823	1.426	-6.158	-0.950	-4.169
575000	-3.996	1.317	-6.176	-0.687	-4.146
580000	-3.445	1.827	-6.295	-0.594	-3.827
585000	-3.600	1.587	-6.739	-1.006	-3.594
590000	-3.627	1.606	-6.574	-0.667	-3.773
595000	-3.464	1.559	-6.278	-0.584	-3.283
600000	-3.427	1.432	-5.564	-0.345	-3.905
605000	-3.413	1.482	-5.718	-0.594	-3.676
610000	-3.417	1.518	-5.904	-0.722	-3.343
615000	-3.706	1.333	-6.295	-0.875	-3.615
620000	-3.948	1.510	-6.571	-1.275	-3.956
625000	-3.503	1.454	-6.557	-1.306	-3.369
630000	-3.483	1.285	-5.901	-1.035	-3.401
635000	-3.285	1.405	-6.498	-0.854	-2.967
640000	-3.788	1.290	-6.238	-0.646	-3.681
645000	-3.778	1.633	-6.441	-0.479	-3.885
650000	-3.645	1.397	-6.155	-0.599	-3.623
655000	-3.631	1.295	-7.115	-1.551	-3.637
660000	-3.510	1.442	-5.702	-0.346	-3.640
665000	-3.765	1.552	-7.201	-0.907	-3.565
670000	-3.267	1.427	-6.887	-0.803	-3.338
675000	-3.093	1.563	-6.100	-0.399	-3.047
680000	-4.044	1.459	-7.949	-1.037	-3.911
685000	-3.824	1.432	-6.371	-0.926	-3.844
690000	-3.586	1.380	-8.070	-0.494	-3.671
695000	-3.715	1.484	-6.541	-0.950	-3.797
700000	-3.105	1.640	-6.947	-0.615	-2.844
705000	-3.941	1.643	-6.739	-0.788	-4.088
710000	-3.908	1.522	-6.653	-0.793	-4.011
715000	-3.632	1.359	-5.896	-0.791	-3.696
720000	-3.554	1.355	-6.762	-0.559	-3.535
725000	-3.576	1.404	-6.540	-0.384	-3.635
730000	-3.882	1.439	-6.027	-0.751	-4.171
735000	-4.232	1.501	-6.799	-1.104	-4.065
740000	-3.558	1.580	-6.269	-0.528	-3.940
745000	-3.742	1.338	-6.275	-1.142	-3.851
750000	-3.826	1.603	-6.521	-0.550	-3.843
755000	-3.417	1.769	-7.496	-0.790	-3.236
760000	-4.063	1.624	-7.439	-0.771	-4.269
765000	-3.927	1.366	-6.708	-0.959	-3.802
770000	-3.747	1.699	-6.600	-0.436	-3.589
775000	-3.993	1.547	-7.201	-0.891	-3.769
780000	-3.198	1.826	-7.820	-0.503	-3.015
785000	-3.522	1.628	-6.523	-0.723	-3.483
790000	-3.326	1.085	-5.745	-1.316	-3.437
795000	-3.681	1.288	-6.178	-0.736	-3.801
800000	-3.740	1.411	-6.638	-0.747	-3.668
805000	-3.476	1.690	-6.397	-0.557	-3.575
810000	-3.839	1.555	-6.675	-1.216	-3.819
815000	-3.549	1.559	-6.693	-1.074	-3.449
820000	-3.819	1.424	-6.178	-1.652	-3.804
825000	-3.745	1.340	-6.466	-1.588	-3.744
830000	-3.681	1.182	-6.714	-0.845	-3.569
835000	-3.693	1.620	-6.992	-0.772	-3.923
840000	-3.934	1.294	-6.819	-2.216	-3.814
845000	-3.853	1.610	-6.922	-0.954	-3.978
850000	-3.866	1.754	-7.134	-0.799	-3.918
855000	-3.222	1.687	-6.491	-0.742	-2.856
860000	-3.382	1.625	-6.687	-1.059	-3.072
865000	-3.631	1.735	-6.379	-0.436	-3.752
870000	-3.389	1.442	-6.425	-0.590	-3.373
875000	-4.108	1.566	-6.587	-0.680	-4.465
880000	-3.797	1.245	-6.017	-1.136	-3.840
885000	-3.642	1.486	-6.322	-0.826	-3.466
890000	-3.583	1.447	-6.899	-1.534	-3.095
895000	-3.274	1.430	-5.340	-0.552	-3.549
900000	-3.399	1.494	-6.421	-0.403	-3.286
905000	-3.319	1.238	-6.053	-1.095	-3.330
910000	-3.930	1.470	-6.687	-0.771	-4.154
915000	-3.943	1.517	-7.016	-1.035	-4.374
920000	-3.494	1.288	-6.309	-1.303	-3.429
925000	-4.170	1.476	-6.407	-0.533	-4.231
930000	-3.631	1.375	-5.718	-0.728	-3.860
935000	-3.493	1.465	-6.617	-1.220	-3.606
940000	-3.747	1.617	-6.438	-0.811	-4.225
945000	-3.555	1.583	-6.051	-0.805	-3.635
950000	-4.143	1.365	-6.786	-0.922	-4.117
955000	-3.583	1.625	-6.918	-0.729	-3.460
960000	-2.980	1.420	-7.531	-0.837	-2.615
965000	-3.830	1.318	-6.364	-1.130	-3.760
970000	-3.714	1.414	-6.749	-1.001	-3.540
975000	-3.477	1.565	-6.716	-1.107	-3.415
980000	-3.758	1.665	-6.390	-0.840	-3.740
985000	-3.146	1.318	-5.975	-0.996	-3.242
