iteration	mean	std_dev	min	max	median
5000	79.529	0.615	78.228	80.423	79.517
10000	98.152	19.205	83.956	153.008	91.098
15000	177.616	7.496	169.315	194.766	175.007
20000	237.802	12.162	225.153	254.824	234.664
25000	184.369	26.903	166.321	262.624	175.123
30000	218.411	1.211	216.744	219.930	218.847
35000	251.674	4.102	247.140	260.157	250.289
40000	295.932	3.563	287.538	299.412	297.680
45000	254.683	9.030	230.550	265.368	257.214
50000	244.859	35.729	203.970	321.385	245.943
55000	350.866	12.590	320.423	361.752	356.670
60000	302.654	7.072	288.847	312.495	305.195
65000	372.710	31.881	335.190	428.822	369.976
70000	403.152	58.921	358.938	537.869	377.321
75000	400.934	82.386	276.208	559.996	376.053
80000	465.519	69.325	378.383	588.769	460.883
85000	352.210	33.105	297.526	430.311	351.715
90000	289.879	391.953	52.933	1253.778	58.201
95000	364.026	106.599	48.121	422.883	394.746
100000	380.785	12.720	360.931	406.124	378.682
105000	478.868	85.168	308.631	559.130	513.778
110000	570.580	74.562	460.141	651.200	584.339
115000	356.905	1.183	353.966	358.315	357.231
120000	620.551	149.577	374.347	864.070	608.608
125000	388.649	10.606	364.757	405.001	388.311
130000	399.425	34.206	360.543	458.560	389.269
135000	746.618	211.117	425.475	1245.556	703.897
140000	400.111	224.259	218.571	811.862	279.506
145000	755.425	145.355	590.256	1117.662	727.781
150000	1095.197	370.866	756.711	1946.058	932.240
155000	788.443	109.011	561.891	952.615	813.819
160000	379.248	16.199	359.082	406.156	377.115
165000	752.104	217.169	526.560	1184.203	645.746
170000	447.115	221.678	274.118	832.326	327.769
175000	482.538	100.429	307.985	576.751	523.830
180000	803.265	209.827	492.963	1104.627	855.010
185000	547.700	42.759	451.116	608.670	553.648
190000	1013.295	136.757	812.797	1233.729	1001.146
195000	804.942	67.433	677.228	890.475	807.111
200000	1004.824	150.975	888.025	1440.186	957.688
205000	1109.631	116.673	850.852	1250.935	1140.535
210000	918.497	145.980	629.544	1131.592	910.524
215000	661.019	301.217	414.386	1155.669	452.599
220000	2420.424	559.027	1553.906	3093.014	2505.839
225000	1214.499	136.346	938.312	1467.445	1193.690
230000	989.443	251.110	745.050	1567.719	897.006
235000	1255.108	171.425	1110.503	1679.244	1165.770
240000	1933.187	475.463	1242.046	2639.135	1941.316
245000	1228.284	198.898	919.208	1453.675	1208.408
250000	1044.512	96.909	947.393	1282.911	1005.433
255000	874.120	284.060	636.605	1444.946	747.991
260000	766.514	560.079	292.688	2127.074	678.837
265000	840.931	262.038	300.989	1311.977	764.410
270000	1266.893	27.659	1214.356	1310.263	1270.971
275000	878.933	452.833	539.194	1865.948	667.822
280000	664.693	101.126	589.365	955.789	649.615
285000	731.470	244.342	455.279	1220.655	589.933
290000	1063.718	314.750	639.424	1784.806	1024.097
295000	1278.833	493.569	645.923	2217.935	1150.577
300000	926.243	203.909	616.969	1242.236	977.695
305000	2575.872	887.438	636.854	3297.991	3089.704
310000	1440.461	354.017	920.907	2072.845	1382.224
315000	2014.981	400.516	1438.434	2868.274	2015.981
320000	1539.997	243.743	1109.060	1948.252	1518.236
325000	1798.943	949.486	726.868	3400.495	1375.135
330000	1184.353	195.123	879.142	1556.716	1207.701
335000	1434.483	890.152	624.269	3150.943	1163.606
340000	1544.058	784.310	995.380	3096.520	1120.761
345000	1731.590	891.571	651.055	3374.150	1675.361
350000	1606.929	414.970	1090.908	2525.516	1491.295
355000	2607.972	752.969	1476.632	3317.496	3122.118
360000	898.449	69.038	755.060	976.637	918.954
365000	3165.406	608.858	2016.333	3598.743	3535.102
370000	1300.138	586.577	641.582	2169.083	1340.448
375000	2814.374	721.383	1122.710	3295.910	3234.325
380000	2166.552	926.060	1140.542	3665.997	2084.630
385000	2192.502	840.340	1057.389	3407.749	1812.330
390000	2718.478	842.787	1348.611	3536.684	3039.475
395000	1246.996	711.648	638.792	3081.511	953.111
400000	903.429	154.102	787.890	1183.699	809.582
405000	3459.409	25.103	3412.676	3512.498	3458.460
410000	2191.235	728.559	1321.425	3547.716	2245.709
415000	3076.167	717.139	1507.393	3632.645	3521.644
420000	470.446	88.999	366.103	581.068	479.254
425000	3432.819	14.676	3412.544	3454.583	3429.774
430000	1457.984	677.268	951.354	2801.243	978.170
435000	3502.804	14.601	3482.028	3536.125	3500.923
440000	3337.890	648.315	1395.595	3599.625	3564.341
445000	2627.811	924.797	1346.474	3547.201	2985.498
450000	1354.440	106.274	1171.307	1520.646	1380.754
455000	887.572	422.260	89.242	1293.210	970.374
460000	3193.599	485.430	2396.639	3542.406	3495.843
465000	2303.382	742.764	1584.944	3528.052	2084.913
470000	1386.217	601.619	623.113	2401.861	1068.085
