iteration	mean	std_dev	min	max	median
5000	38.819	0.909	36.958	40.342	38.637
10000	85.168	1.118	83.477	86.523	85.343
15000	201.627	3.014	196.509	205.795	201.661
20000	202.144	1.853	198.632	204.404	202.694
25000	171.632	1.692	167.700	174.427	171.661
30000	177.976	5.638	172.443	193.300	176.210
35000	215.775	1.581	213.487	218.833	215.720
40000	189.069	4.024	182.976	195.440	190.312
45000	73.092	76.667	21.309	192.284	23.210
50000	230.053	48.808	187.528	326.946	210.994
55000	243.507	5.195	236.959	254.759	242.258
60000	383.056	13.826	349.435	398.051	386.231
65000	239.450	17.540	223.652	267.884	226.527
70000	358.733	2.493	353.065	361.205	359.959
75000	480.312	53.338	426.080	578.911	458.636
80000	476.763	248.067	262.890	1045.749	383.575
85000	627.110	238.423	316.067	835.356	799.628
90000	615.514	119.611	331.172	804.136	634.894
95000	666.639	84.869	572.314	816.806	630.365
100000	588.656	90.344	319.569	628.036	622.603
105000	711.236	95.671	646.907	990.093	680.868
110000	665.732	87.655	443.434	777.936	658.828
115000	392.498	97.620	335.917	671.621	356.973
120000	603.476	134.306	332.960	742.260	639.964
125000	1298.620	557.771	395.787	2126.648	1269.873
130000	1156.069	239.056	948.513	1686.042	1040.796
135000	640.642	107.910	570.746	942.390	591.994
140000	1157.599	726.093	721.838	3166.589	728.119
145000	966.526	8.514	948.178	977.087	968.090
150000	806.714	112.450	685.619	980.810	781.730
155000	885.927	57.323	805.078	972.310	879.595
160000	903.026	33.157	857.535	955.198	898.020
165000	1272.587	694.475	823.621	3171.223	994.210
170000	818.041	78.917	759.065	1031.155	795.815
175000	954.987	61.058	861.594	1075.083	938.804
180000	988.243	20.292	952.725	1032.797	985.525
185000	932.737	39.202	898.709	1042.039	922.766
190000	1015.079	73.556	856.370	1092.549	1014.434
195000	822.313	146.880	703.828	1123.553	718.928
200000	1358.160	350.448	754.132	1991.301	1361.273
205000	937.708	397.843	630.466	2108.739	805.203
210000	796.597	229.357	510.414	1011.582	967.791
215000	707.221	44.708	630.454	764.676	697.709
220000	761.584	132.592	564.284	966.068	729.079
225000	742.192	243.555	522.677	1266.562	600.329
230000	811.997	189.312	498.943	1033.995	843.909
235000	534.500	71.864	394.178	616.696	548.627
240000	2329.184	899.996	1247.495	3304.752	2338.119
245000	1819.013	508.238	1230.431	2793.693	1607.457
250000	1103.731	165.301	930.224	1442.641	1053.937
255000	3029.791	333.501	2483.580	3432.987	3222.555
260000	1602.071	635.152	983.994	3255.068	1590.844
265000	1088.432	98.881	968.009	1219.745	1097.849
270000	938.000	470.183	502.497	1757.360	683.036
275000	1056.868	84.973	980.201	1295.457	1039.176
280000	1034.293	30.722	994.659	1087.186	1025.626
285000	3095.213	272.663	2551.490	3459.489	3190.907
290000	2835.913	684.625	1593.482	3375.073	3268.469
295000	1688.446	446.031	1348.707	2429.155	1409.042
300000	970.071	5.222	960.651	975.681	971.188
305000	2148.514	894.417	1293.839	3239.841	1578.661
310000	3103.360	21.117	3071.513	3153.733	3104.463
315000	2606.822	639.585	1203.801	3169.464	2922.194
320000	1258.759	243.875	1073.907	1818.215	1161.041
325000	1806.072	513.301	1388.046	2980.985	1545.771
330000	1217.956	88.373	1070.035	1376.790	1219.579
335000	1186.607	81.472	1020.418	1308.160	1193.271
340000	3260.244	33.438	3183.293	3294.952	3270.979
