iteration	mean	std_dev	min	max	median
5000	274.093	92.654	11.620	434.699	277.137
10000	321.006	132.177	14.195	753.455	306.376
15000	230.143	207.196	-91.909	871.361	267.360
20000	290.612	164.890	-8.708	556.036	343.912
25000	371.864	145.856	-2.441	576.111	406.800
30000	445.733	131.342	156.321	726.089	445.387
35000	398.463	141.752	33.866	624.256	444.730
40000	342.223	213.859	29.935	830.368	299.807
45000	417.055	115.343	190.212	619.355	414.303
50000	504.078	200.784	212.481	1144.186	458.611
55000	577.698	209.876	195.040	1028.448	545.951
60000	591.191	279.981	13.262	1333.994	558.717
65000	674.065	407.647	219.749	1989.090	584.547
70000	626.840	133.761	342.071	900.433	625.623
75000	627.370	98.758	468.322	894.002	623.625
80000	472.531	185.543	154.436	872.047	443.566
85000	691.708	526.344	195.445	2483.544	560.263
90000	955.188	409.513	266.502	2002.453	933.988
95000	795.601	565.836	100.317	1691.664	875.791
100000	985.017	435.778	177.373	1829.705	967.921
105000	722.946	389.451	285.703	2121.477	572.676
110000	830.170	863.115	179.612	3269.751	307.337
115000	937.881	752.897	161.729	2939.481	804.794
120000	707.527	320.783	260.337	1740.689	698.543
125000	872.839	586.318	275.286	3414.667	622.149
130000	1162.847	995.067	221.765	3028.510	737.018
135000	1579.246	1202.826	157.022	3427.167	924.884
140000	1417.852	1150.420	460.967	3563.836	803.244
145000	1609.522	1232.481	127.805	3628.962	1064.659
150000	1262.568	1076.170	173.615	3743.376	923.673
155000	1720.921	1186.238	455.902	3667.188	1071.495
160000	1993.725	1479.149	207.369	3871.720	1523.592
165000	1689.648	1214.205	240.523	3830.558	1173.367
170000	1551.616	1235.100	300.394	3757.227	998.798
175000	1591.610	1045.270	666.714	3684.584	1244.339
180000	1865.738	1248.590	223.286	3861.529	1382.328
185000	2811.435	1417.819	560.761	4022.625	3744.474
190000	2152.292	1284.257	584.271	4037.480	1549.423
195000	1798.565	1066.994	663.465	3926.495	1546.035
200000	1602.499	951.174	625.375	4052.855	1356.695
205000	1904.983	1259.978	485.859	4067.482	1621.847
