iteration	mean	std_dev	min	max	median
5000	197.122	113.149	11.620	394.308	222.383
10000	337.730	76.912	239.882	455.002	339.261
15000	326.927	45.467	249.847	401.205	313.793
20000	272.797	143.003	21.222	461.855	328.895
25000	346.239	79.084	210.266	448.839	381.346
30000	466.133	137.796	259.483	726.089	443.155
35000	459.142	41.653	384.858	535.119	455.407
40000	553.048	194.224	276.089	830.368	506.681
45000	455.743	120.620	254.262	611.033	482.496
50000	631.465	296.078	212.481	1144.186	706.975
55000	791.949	194.993	482.087	1028.448	886.854
60000	559.833	409.572	13.262	1333.994	349.945
65000	595.358	409.486	219.749	1490.770	397.248
70000	672.259	100.321	563.879	835.875	633.800
75000	660.009	76.302	541.701	786.779	684.011
80000	666.729	120.356	526.479	872.047	607.207
85000	678.470	352.059	294.337	1438.431	681.943
90000	1117.172	395.615	627.385	2002.453	1032.628
95000	1032.226	523.256	214.815	1671.340	1155.943
100000	1330.609	410.696	610.783	1829.705	1418.754
105000	1121.263	425.636	543.837	2121.477	1102.217
110000	727.050	626.917	246.095	1885.576	279.717
115000	872.648	334.278	267.656	1322.536	942.325
120000	697.081	179.854	277.003	948.821	718.996
125000	684.894	319.717	275.286	1495.567	611.217
130000	713.123	228.597	221.765	1034.985	757.301
135000	846.724	364.463	157.022	1456.885	874.556
140000	1007.858	337.708	705.175	1861.690	900.094
145000	661.310	415.556	127.805	1235.124	569.463
150000	1347.953	727.498	271.091	2735.762	1212.612
155000	1139.115	335.294	815.195	2069.336	1071.495
160000	2104.169	985.832	642.312	3250.189	2176.514
165000	1075.284	381.534	601.036	1635.832	976.358
170000	713.495	379.111	300.394	1413.350	616.417
175000	1246.570	87.782	1078.335	1367.315	1254.449
180000	1428.486	107.589	1239.893	1621.692	1409.751
185000	3919.487	156.368	3462.900	4022.625	3968.967
190000	3197.018	876.004	584.271	3630.089	3446.258
195000	2811.522	1128.469	1265.700	3926.495	3145.522
200000	1674.062	890.475	625.375	4052.855	1531.641
205000	2096.828	652.664	1426.645	3723.689	1976.933
210000	3141.505	882.352	923.138	3802.746	3623.082
215000	3045.417	744.329	1492.428	3731.141	3376.062
220000	2512.322	1312.953	402.093	3948.822	2978.803
225000	408.748	1228.685	-0.910	4094.804	-0.813
230000	2118.625	1767.856	321.970	4077.773	2037.048
235000	1216.152	1429.604	253.787	4082.739	396.790
240000	3523.908	766.858	1564.715	3973.350	3893.897
245000	4088.135	93.956	3892.539	4164.586	4126.924
250000	3979.419	523.984	2725.080	4336.675	4239.986
255000	2504.536	1001.348	895.655	4151.480	2263.435
260000	3445.370	796.152	2059.286	4314.033	3628.686
265000	190.389	4.796	180.272	199.912	190.650
270000	157.174	20.193	138.704	191.473	146.553
275000	2863.245	1070.858	748.489	4247.500	3074.839
280000	2846.291	1286.141	1138.813	4246.990	3206.981
285000	3833.757	755.318	1906.958	4264.623	4190.181
290000	3234.466	1617.818	-0.693	4095.207	4042.063
295000	850.303	1431.900	111.995	3899.832	136.149
300000	3388.752	652.112	2446.362	4060.492	3664.239
305000	3668.885	899.102	1763.149	4307.516	4217.037
310000	3801.066	769.424	2009.307	4336.530	4226.851
315000	4232.005	90.904	4064.353	4356.377	4238.169
320000	4100.570	190.570	3693.199	4277.991	4170.617
325000	3758.708	1200.134	163.592	4248.201	4166.891
330000	3419.529	1151.706	201.379	4108.190	3928.621
335000	3836.983	570.324	2610.479	4300.927	4164.493
340000	2911.906	1537.796	132.104	4330.620	3744.313
345000	3493.091	1056.637	1044.595	4205.069	4105.379
350000	3625.500	1379.981	221.573	4370.525	4262.878
355000	4160.083	525.072	2599.596	4447.842	4340.251
360000	3377.151	954.163	1887.980	4227.608	4082.835
365000	4295.827	64.977	4157.442	4390.797	4317.813
370000	4159.743	443.868	2839.150	4402.513	4293.936
375000	4264.393	65.949	4133.408	4364.981	4271.219
380000	4305.608	42.398	4211.071	4380.636	4303.243
385000	3067.347	1425.786	171.285	4139.466	3734.380
390000	4203.709	47.415	4149.451	4307.072	4201.009
395000	4005.407	355.293	2963.312	4228.902	4115.477
400000	4157.103	386.687	3018.233	4441.797	4264.456
405000	3226.485	1090.690	1488.078	4366.571	3720.993
410000	3812.017	882.691	1627.821	4327.962	4227.353
415000	3879.434	882.383	1495.054	4442.456	4331.416
420000	3699.283	1165.517	400.861	4461.583	4151.039
425000	3844.164	742.754	2165.000	4551.142	4226.190
430000	2959.904	937.697	1765.213	4195.478	2980.291
435000	3953.274	600.732	2253.899	4342.271	4159.730
440000	3540.361	1075.241	1375.796	4310.722	4192.316
445000	3805.868	841.610	2076.188	4319.948	4175.245
450000	3379.813	1205.459	1279.045	4545.621	3795.912
455000	3643.868	1176.482	1296.693	4482.663	4354.601
460000	4275.312	113.312	4068.694	4466.159	4308.661
465000	4322.716	59.700	4233.601	4429.502	4328.016
470000	4104.572	394.843	2946.135	4389.346	4201.629
475000	4455.808	43.551	4389.660	4529.925	4442.607
480000	2559.197	973.380	1271.269	4332.981	2517.698
485000	4280.381	58.987	4159.490	4345.408	4298.152
490000	4356.821	41.258	4281.357	4409.492	4363.827
495000	4399.714	53.623	4331.517	4490.384	4400.542
500000	4238.001	219.158	3614.468	4400.281	4335.912
505000	4300.674	87.373	4179.245	4483.045	4292.405
