iteration	mean	std_dev	min	max	median
120000	385.791	4.554	374.971	392.480	385.907
10000	19.399	16.989	5.537	65.507	13.727
20000	147.900	113.416	6.436	290.937	169.115
30000	182.879	83.176	8.115	252.465	211.297
40000	191.116	55.562	27.618	227.974	208.537
50000	258.841	38.974	204.150	340.371	257.221
60000	268.609	49.445	221.186	363.242	251.579
70000	320.957	31.698	286.754	371.687	317.316
80000	323.749	14.897	301.534	347.451	323.489
90000	349.829	22.296	310.644	377.970	362.851
100000	371.088	29.783	323.770	424.977	369.977
110000	370.433	15.981	347.033	401.210	366.501
120000	432.446	89.737	304.425	588.279	422.120
130000	472.987	93.114	343.536	619.170	464.206
140000	581.063	65.237	503.512	692.983	576.418
150000	725.804	108.569	604.992	928.735	677.754
160000	667.288	146.421	393.031	815.491	713.043
170000	822.115	175.271	590.470	1114.484	792.493
180000	850.859	93.592	733.661	1034.496	865.838
190000	978.817	234.044	598.777	1336.354	984.275
200000	1132.227	527.206	275.517	2062.731	1061.070
210000	1879.341	649.371	876.884	3025.868	1589.866
220000	2103.945	846.939	993.792	3238.855	2056.523
230000	2528.327	574.470	1245.545	3053.809	2796.826
240000	2188.533	883.489	862.133	3072.594	2711.774
250000	2121.253	603.977	1159.997	3039.109	1942.880
260000	2647.191	703.256	1134.906	3145.743	3045.390
270000	2450.879	855.749	1048.488	3268.406	2998.031
280000	2768.739	394.815	2044.397	3067.603	2997.934
290000	2433.287	936.815	569.348	3257.117	2919.204
300000	2308.606	807.497	951.933	3174.583	2483.382
310000	2727.153	760.982	1029.769	3346.320	3135.350
320000	2123.559	821.987	724.788	3244.962	1991.253
330000	2628.554	888.722	507.809	3203.063	3120.886
340000	2634.189	814.809	1288.542	3322.532	3093.471
350000	3021.088	266.102	2244.248	3192.604	3105.275
360000	2953.056	438.900	2138.521	3343.166	3179.656
370000	3117.853	126.289	2820.260	3246.006	3151.609
380000	3072.697	382.682	1943.393	3345.276	3147.694
390000	2871.887	659.190	1298.562	3322.820	3212.840
400000	2784.487	914.394	566.950	3383.317	3301.350
410000	2643.656	807.909	997.318	3441.703	3027.802
420000	2569.996	920.599	1249.916	3351.303	3291.367
430000	2801.918	823.728	1296.091	3421.584	3286.738
440000	3260.259	28.834	3208.573	3303.221	3250.603
450000	2833.939	686.087	1570.924	3360.158	3239.690
460000	3284.109	40.576	3234.471	3373.092	3276.970
470000	2928.116	640.965	1351.659	3360.448	3318.095
480000	3157.714	343.185	2266.725	3360.755	3309.573
490000	3092.432	423.246	2096.757	3369.482	3276.813
500000	2969.969	660.691	1635.454	3353.635	3286.943
510000	3318.971	19.060	3281.981	3346.916	3321.161
520000	3344.807	28.210	3309.292	3396.173	3343.060
530000	3056.664	600.790	1640.266	3378.833	3343.624
540000	3161.944	583.158	1413.491	3388.120	3345.188
550000	3345.766	21.275	3316.219	3377.490	3339.858
560000	3149.718	644.294	1227.375	3439.197	3375.629
570000	2949.626	732.153	1528.183	3441.255	3397.949
580000	3144.450	621.299	1594.700	3578.940	3426.460
590000	3202.697	498.848	2061.887	3487.676	3438.176
600000	3445.560	34.419	3406.036	3501.255	3436.832
610000	3373.435	125.485	3034.368	3458.215	3425.812
620000	3215.427	565.290	1664.072	3500.853	3470.214
630000	3191.455	469.522	2247.507	3519.335	3468.185
640000	3456.488	57.963	3314.518	3527.771	3462.902
650000	3346.641	365.094	2252.645	3488.974	3473.854
660000	3316.489	503.386	1807.657	3516.054	3472.221
670000	3504.687	15.301	3481.765	3534.194	3504.307
680000	3111.911	578.672	1773.913	3537.484	3458.799
690000	3495.001	28.822	3425.542	3523.331	3499.109
700000	3235.054	715.076	1124.414	3544.882	3511.619
710000	3404.840	392.167	2232.421	3607.567	3518.876
720000	3512.378	24.648	3445.559	3542.072	3515.930
730000	3542.762	15.582	3522.067	3569.669	3544.076
740000	3460.809	217.426	2809.725	3565.255	3531.620
750000	3544.026	21.884	3510.193	3586.408	3537.623
760000	3545.499	17.459	3512.316	3574.113	3540.327
770000	3267.792	540.045	1905.086	3576.401	3559.706
780000	3309.765	680.420	1269.123	3559.316	3536.492
790000	3135.613	888.340	794.525	3579.799	3548.640
800000	3351.313	414.068	2484.534	3577.836	3556.387
810000	3493.311	175.479	3032.302	3594.889	3570.311
820000	3569.935	21.151	3530.626	3603.541	3572.128
830000	3163.511	696.809	1667.880	3602.222	3568.817
840000	3573.511	16.907	3545.262	3599.458	3572.562
850000	3480.497	273.857	2660.031	3587.479	3573.840
860000	3571.565	20.027	3544.414	3607.639	3568.772
870000	3602.303	39.939	3576.700	3719.736	3588.181
880000	3303.773	490.939	2346.180	3607.392	3588.998
890000	3306.432	571.548	1951.401	3631.157	3578.762
900000	3060.711	1064.474	870.083	3628.816	3589.268
910000	3330.496	654.027	1408.950	3737.130	3582.755
920000	3500.388	298.607	2608.619	3675.571	3594.342
930000	3594.357	9.440	3573.381	3605.242	3597.698
940000	3615.542	32.415	3578.634	3704.441	3606.956
950000	3201.638	811.968	1299.838	3620.219	3601.166
960000	3353.047	495.950	2207.484	3614.029	3597.688
970000	3362.074	688.869	1301.480	3635.513	3605.060
980000	3601.491	16.188	3558.637	3614.601	3605.483
990000	3624.954	10.825	3608.698	3639.026	3626.499
1000000	3616.766	28.474	3555.833	3654.382	3625.590
