iteration	mean	std_dev	min	max	median
10000	25.677	20.679	7.972	72.150	16.115
20000	23.011	20.068	3.403	69.060	17.276
30000	58.578	25.526	11.148	90.254	68.626
40000	70.300	16.722	49.103	102.849	69.819
50000	77.895	27.377	21.566	115.447	83.751
60000	80.340	19.524	54.734	116.655	81.185
70000	112.099	20.054	73.086	144.940	115.454
80000	147.446	39.308	88.646	219.176	138.735
90000	144.582	69.203	11.846	206.188	183.913
100000	154.318	63.428	59.663	219.461	191.763
110000	187.259	56.432	18.852	212.792	206.347
120000	206.330	2.984	199.294	210.891	206.772
130000	211.502	4.737	204.285	222.441	211.487
140000	210.791	2.294	205.978	214.825	210.659
150000	210.243	2.243	206.261	213.974	211.104
160000	213.136	1.060	211.483	214.764	213.051
170000	217.418	9.747	210.132	244.941	214.233
180000	212.805	3.432	203.732	216.171	213.267
190000	214.820	2.451	210.823	219.640	214.787
200000	213.581	2.115	210.572	217.766	212.789
210000	213.911	1.549	210.611	216.099	213.791
220000	214.330	1.590	211.364	216.628	214.442
230000	214.146	1.116	212.666	216.213	213.882
240000	215.232	1.650	212.920	218.425	215.738
250000	216.124	1.767	212.668	218.648	216.326
260000	215.061	1.730	212.722	218.303	214.697
270000	215.157	1.373	212.959	217.552	215.591
280000	215.632	1.507	212.638	218.927	215.524
290000	216.421	1.323	213.460	218.038	216.460
300000	216.866	1.534	214.983	220.267	216.427
310000	216.780	1.881	213.554	218.920	217.084
320000	217.018	0.979	216.193	218.971	216.393
330000	217.867	1.410	215.956	220.816	218.167
340000	217.455	1.399	215.241	219.254	217.658
350000	216.263	1.530	212.853	218.685	216.156
360000	217.407	1.560	215.729	220.690	216.819
370000	216.850	1.489	213.687	218.889	216.664
380000	217.634	1.101	215.770	219.082	217.996
390000	217.642	1.178	215.976	219.011	218.299
400000	217.871	1.179	215.267	219.147	218.276
410000	217.852	1.703	214.268	220.554	218.391
420000	217.506	0.818	216.373	218.800	217.194
430000	217.349	1.077	215.170	218.613	217.612
440000	217.994	1.495	215.775	221.004	218.269
450000	217.681	1.377	214.035	218.905	218.104
460000	218.239	1.820	214.334	220.743	218.798
470000	217.364	1.510	214.078	218.764	218.029
480000	218.126	1.443	216.110	220.868	218.062
490000	218.629	1.644	215.757	220.798	218.620
500000	218.123	1.514	216.308	220.359	218.428
510000	218.211	1.067	216.227	220.548	218.281
520000	218.146	1.700	215.745	220.765	218.513
530000	218.178	1.547	216.201	220.921	218.629
540000	218.142	1.462	215.947	220.940	218.439
550000	219.070	0.956	218.233	220.890	218.674
560000	218.854	1.132	216.384	220.908	218.956
570000	218.167	1.437	216.015	219.929	218.346
580000	218.322	1.115	216.440	220.589	218.388
590000	218.035	1.720	215.645	220.964	217.914
600000	218.543	1.242	216.398	220.538	218.462
610000	219.273	1.022	217.963	220.744	219.207
620000	218.817	1.215	216.455	220.733	218.649
630000	218.198	1.649	215.736	220.640	218.581
640000	218.851	1.295	216.467	220.800	218.639
650000	218.816	1.401	215.860	220.960	218.576
660000	218.957	1.657	216.142	220.861	219.435
670000	219.655	1.143	217.624	220.858	220.110
680000	219.329	1.764	215.945	222.331	219.215
690000	218.229	1.604	216.141	221.200	218.016
700000	219.240	1.490	215.656	220.766	219.809
710000	219.798	1.132	217.984	221.006	220.218
720000	220.080	1.381	217.558	222.634	220.513
730000	217.545	1.549	215.528	220.355	217.899
740000	220.088	1.647	217.810	222.861	219.831
750000	218.891	1.285	216.808	220.864	218.566
760000	219.692	1.717	217.499	223.151	219.554
770000	219.021	0.911	217.701	220.796	218.944
780000	218.946	1.684	216.092	222.498	218.626
790000	219.031	1.428	215.920	221.016	218.908
800000	219.435	1.203	218.133	221.304	219.185
810000	219.312	1.598	216.112	221.023	219.999
820000	219.788	1.066	217.959	221.149	219.968
830000	218.609	1.556	215.699	221.022	218.064
840000	219.559	1.258	217.578	221.049	219.842
850000	219.605	1.127	218.108	221.021	219.836
860000	220.090	0.933	217.798	221.137	220.453
870000	219.638	2.043	215.906	222.808	220.162
880000	219.507	1.411	217.772	222.404	219.441
890000	218.847	1.126	216.524	220.472	218.795
900000	218.886	1.896	215.867	222.037	218.584
910000	219.347	1.741	216.831	222.201	218.793
920000	219.380	1.591	216.320	222.156	219.686
930000	220.533	1.121	218.308	222.877	220.467
940000	219.431	2.151	216.072	222.585	219.928
950000	219.167	1.051	218.123	221.188	218.608
960000	219.270	2.287	215.525	222.731	218.937
970000	219.784	1.631	216.268	221.825	219.983
980000	219.604	1.150	218.052	221.205	219.669
990000	220.469	2.075	217.696	224.852	220.495
1000000	220.152	1.887	216.412	223.079	220.084
