iteration	mean	std_dev	min	max	median
10000	-32.920	13.084	-51.321	-10.615	-36.955
20000	-3.591	16.689	-34.454	20.703	-0.859
30000	9.544	9.759	-9.848	23.365	12.604
40000	19.620	7.831	9.309	36.927	18.576
50000	16.172	4.040	11.145	22.000	15.434
60000	11.308	4.084	4.478	20.023	11.761
70000	10.199	6.153	-1.127	18.377	11.715
80000	5.626	7.414	-4.771	18.490	2.723
90000	7.360	5.911	-1.052	15.146	8.336
100000	8.198	3.412	2.571	12.813	7.812
110000	14.881	8.430	1.192	27.777	14.611
120000	14.734	4.704	3.631	21.919	14.721
130000	20.536	12.925	4.818	47.520	14.830
140000	28.507	10.226	14.188	44.251	33.033
150000	30.503	4.691	21.622	38.041	30.377
160000	32.422	5.329	24.671	43.458	32.453
170000	32.079	6.366	22.727	44.630	31.185
180000	31.919	5.427	16.893	38.484	33.162
190000	34.477	3.228	28.342	38.223	35.278
200000	37.720	4.377	33.002	45.495	36.286
210000	43.656	11.281	22.127	58.792	47.320
220000	55.451	4.711	47.796	61.090	55.765
230000	65.448	4.644	57.881	74.642	65.646
240000	76.976	5.632	68.966	85.456	76.937
250000	81.812	6.515	71.646	89.906	83.485
260000	89.024	5.737	79.224	98.474	86.823
270000	93.774	5.479	80.631	100.595	95.096
280000	97.943	3.943	89.522	103.509	98.299
290000	104.162	5.891	91.192	112.864	104.619
300000	112.893	3.998	106.310	118.980	112.851
310000	107.262	5.906	98.150	117.515	106.626
320000	114.789	5.475	104.119	122.338	115.012
330000	114.357	5.131	104.093	124.277	114.846
340000	120.777	4.063	112.103	126.173	121.451
350000	125.546	2.409	120.734	129.381	125.230
360000	126.566	4.778	115.250	132.028	128.119
370000	128.020	3.429	121.972	132.051	129.031
380000	126.755	5.930	117.072	136.102	127.628
390000	128.502	5.197	118.390	135.174	129.899
400000	129.660	6.206	120.004	136.668	130.731
410000	133.524	4.459	123.456	137.557	135.122
420000	129.706	5.533	121.451	135.702	131.856
430000	129.962	5.548	122.195	137.115	131.858
440000	133.367	3.401	124.813	136.466	134.783
450000	133.633	2.880	125.806	136.743	134.717
460000	135.724	1.973	132.095	139.065	136.061
470000	135.971	4.242	124.961	140.743	137.352
480000	135.632	3.749	126.335	140.408	135.650
490000	136.654	2.782	131.268	141.883	136.926
500000	133.608	4.473	125.954	138.286	135.714
510000	132.745	5.089	124.905	139.984	132.867
520000	138.289	2.810	131.925	142.626	138.425
530000	135.495	4.947	126.207	140.746	137.384
540000	134.485	4.760	127.128	141.018	136.090
550000	133.823	6.028	125.127	142.801	132.368
560000	136.493	4.385	127.972	141.542	138.006
570000	134.610	4.567	128.321	142.102	134.700
580000	131.359	4.473	123.701	140.868	130.588
590000	135.689	4.088	129.412	141.019	136.735
600000	133.467	4.127	128.639	139.656	133.957
610000	136.694	4.339	128.580	141.930	137.948
620000	134.961	4.686	127.041	142.712	134.687
630000	137.635	4.842	130.264	144.386	138.577
640000	137.077	5.623	125.542	143.628	139.618
650000	137.600	5.056	129.703	143.402	139.504
660000	137.300	4.764	128.934	143.492	138.059
670000	134.546	5.216	127.835	143.575	134.791
680000	135.114	5.182	127.899	142.030	135.629
690000	134.763	6.252	127.821	144.480	132.841
700000	135.759	5.793	129.593	145.627	132.619
710000	132.188	3.279	127.590	139.931	131.362
720000	134.663	4.696	128.191	144.831	133.282
730000	136.235	4.934	128.475	145.767	137.185
740000	135.462	3.649	130.983	140.709	134.060
750000	132.971	3.389	129.511	142.047	132.158
760000	134.233	5.093	128.740	144.944	132.635
770000	133.731	5.198	128.402	144.297	132.215
780000	133.160	3.114	128.987	140.098	132.543
790000	136.280	4.514	130.922	142.159	135.200
800000	137.617	5.247	130.720	145.862	137.038
810000	132.533	2.197	128.456	136.403	132.747
820000	134.212	4.404	128.257	142.399	133.195
830000	136.420	3.906	131.838	144.226	135.265
840000	135.394	3.479	132.068	143.579	134.286
850000	136.049	4.372	129.674	143.915	135.087
860000	134.076	2.921	131.475	140.738	132.824
870000	134.734	3.282	131.142	141.947	133.221
880000	137.577	4.725	131.896	145.061	136.093
890000	134.939	4.345	131.957	144.378	132.947
900000	136.208	4.721	129.844	143.864	135.446
910000	137.139	5.263	131.277	144.165	136.140
920000	134.002	1.642	130.855	136.584	134.476
930000	139.440	5.317	130.217	146.059	140.758
940000	137.627	3.234	134.098	144.182	136.426
950000	139.820	5.116	132.892	147.022	139.734
960000	139.437	5.279	131.444	146.467	142.006
970000	137.258	4.206	131.759	144.355	135.797
980000	138.172	6.133	128.644	147.086	138.774
990000	135.699	3.158	132.237	143.632	134.637
1000000	135.651	4.677	130.315	147.668	134.813
