iteration	mean	std_dev	min	max	median
10000	1.637	13.207	-11.967	65.071	-0.231
20000	0.374	6.120	-12.487	13.923	-0.793
30000	9.312	21.327	-10.822	101.092	2.024
40000	11.396	16.369	-12.856	61.584	7.478
50000	30.810	49.718	-7.452	182.677	11.970
60000	28.516	52.466	-10.820	244.772	7.987
70000	56.735	67.333	-4.796	230.723	23.708
80000	94.400	93.981	-6.029	316.104	63.599
90000	133.804	117.941	-5.514	476.473	109.763
100000	197.511	130.960	11.715	519.293	212.012
110000	188.443	117.339	-4.202	381.885	207.952
120000	202.090	108.469	0.163	398.908	211.956
130000	216.619	126.136	-1.643	500.578	218.540
140000	276.951	116.528	25.802	562.445	277.046
150000	274.676	97.556	52.802	477.370	274.651
160000	282.056	114.088	63.834	579.712	268.279
170000	351.210	170.152	82.980	926.824	322.817
180000	298.576	97.927	41.530	586.809	298.231
190000	333.442	128.429	70.910	651.522	320.135
200000	336.989	160.237	34.959	673.445	335.178
210000	368.154	121.274	252.428	808.569	329.442
220000	379.601	181.144	5.229	851.273	338.267
230000	392.865	202.303	44.475	979.752	319.699
240000	381.533	157.235	85.984	1014.735	343.145
250000	402.400	144.509	241.011	880.325	370.278
260000	432.919	152.369	227.643	768.356	391.987
270000	474.625	246.614	89.613	1219.190	377.616
280000	452.063	178.804	42.012	948.109	455.469
290000	453.496	186.199	140.622	1183.262	417.276
300000	562.630	227.477	322.468	1239.828	437.123
310000	671.492	327.146	114.054	1328.378	550.858
320000	580.974	267.889	71.236	1256.375	506.612
330000	757.488	356.687	345.180	1630.333	597.213
340000	903.360	479.026	133.117	1975.122	1044.877
350000	970.737	484.664	98.702	1823.524	1228.014
360000	943.404	436.976	255.687	1853.959	1025.922
370000	1051.003	638.638	370.601	2528.240	979.687
380000	938.499	567.986	72.784	2341.156	1155.534
390000	1117.521	697.301	119.051	2941.180	1309.551
400000	1203.774	726.293	340.536	3091.096	1352.814
410000	922.135	636.075	303.709	3521.955	692.846
420000	1137.762	768.535	94.464	3200.615	911.357
430000	1051.883	640.415	312.594	2932.561	918.647
440000	1182.926	775.869	115.806	2891.235	1198.851
450000	1220.179	810.039	241.129	3288.484	1119.831
460000	1273.015	810.516	213.195	3126.033	1208.803
470000	1320.906	871.556	353.409	3462.018	1117.158
480000	1426.233	1019.273	209.955	3361.191	1495.351
490000	1340.867	1053.333	181.983	3150.069	663.679
500000	1592.023	1025.518	195.755	3353.657	1692.877
510000	1322.422	934.040	192.890	3205.512	1084.955
520000	1420.098	959.955	415.401	3267.015	1071.451
530000	1787.054	1029.060	386.148	3378.202	2014.427
540000	1617.941	1018.813	366.671	3182.880	1870.994
550000	1638.186	1163.153	40.477	3476.531	1535.917
560000	1527.181	1121.865	141.331	3399.464	1108.559
570000	1728.217	1070.131	417.095	3543.894	1873.758
580000	1763.194	1124.568	386.086	3576.125	1807.907
590000	1622.884	1069.352	-1.379	3483.774	1573.527
600000	1645.899	936.354	423.395	3446.566	1936.245
610000	1675.590	1025.664	389.681	3416.299	1983.707
620000	1547.678	951.370	460.089	3428.098	1533.985
630000	1666.268	1047.299	433.904	3333.679	1994.816
640000	1763.005	1020.995	487.299	3537.664	1903.144
650000	1836.679	1057.848	416.477	3645.677	2107.193
660000	1750.855	1055.415	451.189	3664.653	1826.987
670000	1894.309	1013.873	473.773	3560.017	2413.543
680000	1690.966	1010.624	422.378	3602.840	1429.966
690000	1884.558	1112.665	400.540	3757.167	1807.994
700000	1898.286	1010.437	463.562	3575.997	2028.078
710000	2011.459	1183.475	545.077	3765.370	1967.999
720000	1906.524	1220.968	12.574	3676.257	1698.821
730000	1908.074	1013.769	274.678	3655.638	1891.840
740000	1929.121	1087.704	249.633	3572.933	1966.851
750000	2213.136	1093.359	562.393	3775.670	2619.623
760000	1805.474	936.021	434.792	3559.678	1738.159
770000	1875.764	960.853	6.469	3589.097	2030.524
780000	2241.897	1007.443	213.412	3682.060	2689.938
790000	2348.077	1027.815	820.135	3773.533	2667.144
800000	2215.774	907.220	471.880	3686.893	2147.395
810000	2129.090	1023.924	399.435	3868.630	2160.088
820000	2304.433	1059.568	125.180	3666.764	2795.022
830000	2200.451	1029.908	371.698	3772.617	2162.273
840000	2619.717	899.070	456.948	3770.411	3022.217
850000	2314.683	963.760	318.382	3586.878	2556.538
860000	2693.421	916.203	732.079	3767.654	3080.335
870000	2655.169	953.549	767.369	4210.196	2969.379
880000	2633.186	1012.760	373.848	3758.515	3069.796
890000	2353.675	1044.613	345.145	3755.058	2448.557
900000	2581.786	1002.516	654.424	3760.859	2840.960
910000	2693.881	909.698	998.910	4180.143	3090.185
920000	3060.704	790.184	1242.337	4512.877	3249.790
930000	2695.673	1012.127	335.938	4270.227	3066.743
940000	2817.210	940.816	929.962	4200.420	3183.196
950000	3267.855	753.989	369.592	4304.487	3297.796
960000	3246.373	969.533	538.880	4523.320	3392.352
970000	2994.359	1020.274	442.259	4283.819	3344.468
980000	3390.685	737.093	1096.872	4331.691	3431.075
990000	2986.777	1006.299	713.606	4363.375	3394.636
1000000	3156.790	675.287	1689.550	4303.497	3329.393
