iteration	mean	std_dev	min	max	median
10000	-0.461	4.439	-6.823	6.300	-1.023
20000	-1.679	3.932	-6.881	6.077	-2.580
30000	1.913	4.164	-4.722	10.251	1.771
40000	2.969	2.797	-1.164	6.811	3.712
50000	7.059	2.433	2.281	10.652	6.967
60000	9.246	3.954	3.775	16.042	9.425
70000	12.361	8.025	6.030	34.713	9.139
80000	15.338	4.128	8.008	22.405	15.454
90000	19.755	5.216	13.171	29.476	19.474
100000	23.215	10.896	8.395	44.260	20.146
110000	36.752	23.687	11.657	80.810	34.820
120000	159.434	164.570	7.363	384.289	40.451
130000	252.883	135.424	4.024	434.284	300.673
140000	236.931	113.527	9.160	342.637	268.998
150000	321.915	79.336	164.564	466.126	317.074
160000	318.070	80.221	201.980	515.020	295.951
170000	278.442	48.767	193.316	361.118	272.727
180000	345.301	53.227	233.041	418.593	341.723
190000	262.091	104.612	59.205	423.826	287.185
200000	329.754	77.307	110.587	408.375	346.896
210000	378.324	84.507	265.463	554.801	357.071
220000	369.534	74.353	249.643	487.750	377.328
230000	424.293	81.457	230.047	562.115	428.063
240000	389.492	55.429	293.479	497.216	397.409
250000	403.390	127.033	95.907	626.012	405.440
260000	441.558	102.103	249.778	644.200	436.935
270000	490.890	93.089	372.272	728.154	476.348
280000	543.449	149.165	281.008	795.359	523.684
290000	467.455	55.271	351.346	564.195	463.716
300000	543.110	159.406	353.737	959.315	520.180
310000	584.942	162.486	355.743	935.979	556.654
320000	600.510	252.239	137.274	1077.539	558.275
330000	663.948	281.523	118.052	1155.620	679.584
340000	722.757	215.230	409.136	1091.937	682.576
350000	590.648	210.523	407.488	1031.747	508.464
360000	681.857	168.400	431.076	1062.541	670.378
370000	701.189	193.372	351.919	943.182	748.537
380000	697.907	175.676	387.124	993.902	689.208
390000	559.756	212.424	135.376	789.329	594.517
400000	761.307	160.066	585.450	1104.700	725.477
410000	888.134	427.331	99.672	1699.941	881.577
420000	805.444	297.449	68.869	1136.114	891.329
430000	785.912	298.884	51.552	1150.740	839.037
440000	790.915	300.753	163.095	1298.294	803.638
450000	802.526	294.931	487.791	1236.036	748.301
460000	837.268	376.210	92.648	1382.548	843.309
470000	875.734	258.369	453.523	1484.909	871.275
480000	843.644	269.619	437.505	1250.561	796.186
490000	970.425	453.601	436.872	2103.583	945.123
500000	1028.446	413.461	575.042	1871.156	886.877
510000	1196.704	503.362	390.025	2146.026	1180.521
520000	1153.443	449.309	392.755	1647.788	1317.974
530000	960.358	391.686	350.472	1834.441	955.251
540000	1494.979	484.966	783.918	2557.430	1526.677
550000	1406.412	635.775	98.826	2582.332	1441.325
560000	1378.764	562.529	403.560	2125.341	1482.438
570000	1925.207	572.751	1142.256	3136.280	1752.399
580000	1151.544	521.201	498.125	2423.800	971.001
590000	1095.529	515.091	36.804	1795.818	1190.406
600000	1673.527	715.344	790.387	2954.137	1599.450
610000	1576.680	793.297	546.791	2996.583	1365.105
620000	2019.381	869.418	878.246	3202.021	1827.269
630000	1682.559	887.095	597.594	2861.748	1474.519
640000	2350.682	669.285	963.829	3228.577	2316.529
650000	2194.529	984.924	373.942	3253.484	2626.834
660000	2072.821	872.483	526.281	3079.621	2064.663
670000	2201.367	764.828	1146.120	3104.329	2318.424
680000	2325.222	668.922	880.657	2979.899	2604.440
690000	1961.983	923.250	42.435	3173.999	2046.929
700000	2423.420	775.813	957.882	3117.360	2817.601
710000	2095.793	787.854	1105.371	3140.176	1800.227
720000	2057.996	797.763	694.462	3147.951	2106.495
730000	2240.902	721.207	1122.667	3170.733	2428.146
740000	2595.450	675.817	1066.414	3205.152	2948.822
750000	1840.982	683.624	1170.160	3352.015	1556.412
760000	2135.638	842.075	883.267	3108.409	1993.791
770000	2660.412	663.639	1387.081	3253.864	3031.368
780000	2236.157	695.393	1097.292	3127.334	2321.112
790000	2750.460	444.017	1933.053	3196.432	2886.491
800000	1693.232	1048.484	48.005	3365.317	1322.425
810000	2217.976	844.787	1062.026	3301.027	2344.058
820000	2694.206	664.135	1318.062	3265.097	3056.503
830000	2715.017	646.724	1486.274	3228.481	3028.153
840000	2482.421	828.066	1416.713	3392.575	2937.012
850000	2184.908	936.915	1012.792	3389.980	2309.214
860000	2725.935	505.216	1920.872	3272.848	2853.008
870000	2302.328	1011.726	240.147	3376.535	2642.173
880000	2772.659	826.790	873.489	3457.677	3122.456
890000	2461.459	915.713	795.408	3347.563	2944.853
900000	3075.501	501.035	1627.479	3420.405	3229.568
910000	2698.268	519.713	1747.750	3417.092	2868.304
920000	2896.000	626.022	1113.031	3307.148	3157.488
930000	2924.781	515.518	1708.708	3440.079	3151.759
940000	2421.083	851.052	1241.815	3283.010	2931.294
950000	2839.872	730.453	876.839	3311.919	3175.012
960000	3357.030	214.064	2923.167	3585.535	3460.567
970000	2787.642	762.693	1357.209	3465.805	3237.671
980000	2610.893	834.443	1313.404	3508.167	2968.742
990000	3192.087	378.798	2209.694	3493.027	3348.157
1000000	2466.500	902.236	1155.593	3514.867	2394.210
