iteration	mean	std_dev	min	max	median
10000	0.637	4.229	-5.886	9.238	0.207
20000	0.644	4.651	-3.256	12.500	-0.596
30000	4.117	6.174	-2.425	18.312	1.779
40000	9.882	7.629	1.163	29.556	8.762
50000	7.192	4.839	1.131	15.126	7.015
60000	20.844	19.938	3.855	64.442	11.616
70000	20.094	11.240	2.757	40.733	19.960
80000	79.232	87.322	2.812	236.818	36.403
90000	80.306	78.216	7.008	209.852	37.279
100000	156.940	104.934	11.715	304.726	182.551
110000	137.908	101.113	17.045	293.444	105.351
120000	169.511	103.634	44.069	353.567	143.317
130000	200.181	95.999	42.445	343.068	182.262
140000	248.086	84.050	78.878	416.592	235.356
150000	280.800	80.445	148.551	393.530	277.674
160000	232.659	60.397	168.468	348.387	203.015
170000	299.939	79.783	136.161	416.611	285.086
180000	316.453	101.294	158.891	541.786	316.495
190000	321.818	78.919	178.971	424.068	343.312
200000	317.062	83.107	221.190	498.853	317.015
210000	342.149	57.209	253.736	441.077	329.443
220000	343.522	62.865	258.112	443.047	338.268
230000	317.652	31.519	261.571	381.861	322.968
240000	329.660	51.028	237.477	416.070	330.224
250000	332.223	40.866	267.891	394.340	343.635
260000	338.104	49.788	260.635	409.836	351.860
270000	395.457	122.006	260.581	689.770	359.612
280000	391.361	58.802	256.681	461.638	395.806
290000	366.143	64.993	237.734	459.500	375.450
300000	425.420	109.361	322.468	727.148	413.835
310000	439.528	88.992	333.429	655.610	408.281
320000	346.332	100.975	71.236	441.582	382.716
330000	421.787	75.397	345.180	569.784	389.735
340000	431.579	49.484	379.402	537.792	416.209
350000	425.178	39.256	365.490	491.532	429.353
360000	424.440	78.189	255.687	512.073	452.856
370000	428.115	26.267	370.601	466.603	432.708
380000	416.624	64.224	316.057	507.646	431.112
390000	487.154	52.109	428.590	568.775	473.287
400000	441.991	88.255	340.536	674.018	421.150
410000	442.702	54.618	332.787	513.046	457.561
420000	438.639	39.825	390.916	532.287	435.066
430000	447.904	44.553	376.565	514.900	446.436
440000	484.289	108.563	361.335	682.984	443.875
450000	506.957	101.731	322.777	655.400	476.928
460000	451.400	42.706	371.531	522.088	452.294
470000	495.756	77.050	353.409	621.156	484.539
480000	460.398	21.704	425.916	499.955	460.335
490000	458.852	21.496	435.778	503.597	452.401
500000	453.397	97.798	195.755	596.568	472.824
510000	441.798	60.837	370.736	546.703	428.391
520000	491.437	34.492	415.401	528.602	507.833
530000	472.584	56.530	386.148	607.333	469.885
540000	499.737	76.640	367.235	633.475	510.405
550000	506.497	30.667	460.732	559.987	510.867
560000	518.207	50.333	432.992	601.916	518.265
570000	523.879	86.159	417.095	653.087	525.505
580000	480.491	68.627	386.086	608.035	485.894
590000	511.858	38.043	464.466	578.200	502.524
600000	497.659	31.951	423.395	542.219	499.931
610000	495.871	49.243	421.888	580.844	494.947
620000	555.264	76.465	460.089	742.918	545.226
630000	559.942	76.090	433.904	696.459	552.437
640000	611.337	93.364	487.299	829.247	584.303
650000	602.203	115.746	416.477	861.167	597.343
660000	578.067	94.421	451.189	801.961	565.294
670000	681.654	125.481	473.773	820.373	730.075
680000	661.731	142.446	422.378	907.540	694.230
690000	683.188	170.783	400.540	986.976	663.120
700000	735.431	155.525	463.562	941.555	803.650
710000	778.188	215.441	545.077	1180.253	701.096
720000	813.840	128.492	592.176	1048.476	817.293
730000	937.720	233.413	274.678	1123.593	991.091
740000	857.347	231.257	456.253	1202.152	807.012
750000	1030.791	320.904	562.393	1672.938	950.444
760000	808.766	271.943	434.792	1306.149	774.257
770000	1037.316	266.681	570.722	1450.354	1095.928
780000	1177.194	279.463	921.087	1889.536	1089.097
790000	1217.659	445.735	820.135	2457.520	1127.762
800000	1369.985	479.901	471.880	2185.256	1401.587
810000	1253.289	262.344	739.849	1691.078	1299.193
820000	1286.639	543.484	340.102	2238.339	1287.985
830000	1430.995	507.118	543.963	2254.512	1366.162
840000	1541.394	481.390	456.948	2207.029	1600.536
850000	1687.929	493.243	1063.748	2444.021	1484.475
860000	1863.975	911.089	732.079	3541.472	1586.574
870000	2030.505	975.443	767.369	4210.196	1897.059
880000	2088.108	782.143	1139.484	3271.054	2205.877
890000	1619.555	498.584	687.321	2351.564	1775.191
900000	1684.135	655.858	885.901	2832.185	1468.056
910000	1970.630	1017.633	998.910	4180.143	1627.061
920000	2842.854	1081.818	1519.332	4512.877	2506.314
930000	2514.651	1218.317	1172.367	4270.227	1900.826
940000	2435.766	1215.349	929.962	4200.420	1987.437
950000	3429.006	702.262	2245.068	4304.487	3312.428
960000	3367.887	1113.481	1452.398	4523.320	4032.762
970000	3529.605	829.067	2183.360	4283.819	4119.157
980000	3517.805	1052.253	1096.872	4331.691	4104.025
990000	3373.674	836.423	1762.420	4363.375	3394.575
1000000	2652.916	893.506	1689.550	4303.497	2451.939
